row_label_raw,row_label_full,Số cuối năm,Dịch vụ vận tảiVND,Dịch vụ hànghải dầu khíVND,Thương mạiVND,Dịch vụ khácVND,TổngVND,numeric__Dịch vụ vận tảiVND,numeric__Dịch vụ hànghải dầu khíVND,numeric__Thương mạiVND,numeric__Dịch vụ khácVND,numeric__TổngVND
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,10.615.913.127.717,1.701.231.173.710,158.526.076.212,2.366.701.565,12.478.037.079.204,10615913127717.0,1701231173710.0,158526076212.0,2366701565.0,12478037079204.0
Lãi từ công ty liên kết,Lãi từ công ty liên kết,Lãi từ công ty liên kết,,,,,60.828.561.722,,,,,60828561722.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,,(1.449.281.354.464),,,,,-1449281354464.0
Tổng tài sản hợp nhất,Tổng tài sản hợp nhất,Tổng tài sản hợp nhất,,,,,11.089.584.286.462,,,,,11089584286462.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,4.132.252.353.674,473.665.324.692,23.757.013.281,4.272.377.764,4.633.947.069.411,4132252353674.0,473665324692.0,23757013281.0,4272377764.0,4633947069411.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,176.747.155.545,,,,,176747155545.0
Tổng nợ phải trả hợp nhất,Tổng nợ phải trả hợp nhất,Tổng nợ phải trả hợp nhất,,,,,4.810.694.224.956,,,,,4810694224956.0
Số đầu năm,Số đầu năm,Số đầu năm,Dịch vụ vận tảiVND,Dịch vụ hànghải dầu khíVND,Thương mạiVND,Dịch vụ khácVND,TổngVND,,,,,
Tài sản bộ phận,Số đầu năm > Tài sản bộ phận,Tài sản bộ phận,9.211.019.765.526,1.227.572.064.669,183.108.524.867,175.820.000,10.621.876.175.062,9211019765526.0,1227572064669.0,183108524867.0,175820000.0,10621876175062.0
Lãi từ công ty liên kết,Số đầu năm > Lãi từ công ty liên kết,Lãi từ công ty liên kết,,,,,54.635.656.181,,,,,54635656181.0
Tài sản không phân bổ,Số đầu năm > Tài sản không phân bổ,Tài sản không phân bổ,,,,,320.786.846.061,,,,,320786846061.0
Tổng tài sản hợp nhất,Số đầu năm > Tổng tài sản hợp nhất,Tổng tài sản hợp nhất,,,,,10.997.298.677.304,,,,,10997298677304.0
Nợ phải trả bộ phận,Số đầu năm > Nợ phải trả bộ phận,Nợ phải trả bộ phận,3.532.338.293.701,295.928.411.791,44.124.923.302,1.021.083.437,3.873.412.712.231,3532338293701.0,295928411791.0,44124923302.0,1021083437.0,3873412712231.0
Nợ phải trả không phân bổ,Số đầu năm > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,1.432.920.174.169,,,,,1432920174169.0
Tổng nợ phải trả hợp nhất,Số đầu năm > Tổng nợ phải trả hợp nhất,Tổng nợ phải trả hợp nhất,,,,,5.306.332.886.400,,,,,5306332886400.0
