row_label_raw,row_label_full,col_0,Số cuối nămVND,Số đầu năm(Trình bày lại)VND,numeric__Số cuối nămVND,numeric__Số đầu năm(Trình bày lại)VND
a) Ngân hạn,a) Ngân hạn,a) Ngân hạn,a) Ngân hạn,a) Ngân hạn,,
"Ký cược, ký quỹ","a) Ngân hạn > Ký cược, ký quỹ","Ký cược, ký quỹ",112.416.679.733,305.135.200,112416679733.0,305135200.0
Tạm ứng cho nhân viên,a) Ngân hạn > Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,11.676.870.727,14.838.846.781,11676870727.0,14838846781.0
Trích trước lãi tiền gửi Ngân hàng,a) Ngân hạn > Trích trước lãi tiền gửi Ngân hàng,Trích trước lãi tiền gửi Ngân hàng,30.290.730.766,26.026.365.402,30290730766.0,26026365402.0
Thù lao Hội đồng Quản trị và Ban kiểm soát,a) Ngân hạn > Thù lao Hội đồng Quản trị và Ban kiểm soát,Thù lao Hội đồng Quản trị và Ban kiểm soát,-,174.000.000,,174000000.0
Phải thu tiền bồi thường (*),a) Ngân hạn > Phải thu tiền bồi thường (*),Phải thu tiền bồi thường (*),77.693.973.000,78.702.730.000,77693973000.0,78702730000.0
Phải thu khác là các bên liên quan(Thuyết minh số 40),a) Ngân hạn > Phải thu khác là các bên liên quan(Thuyết minh số 40),Phải thu khác là các bên liên quan(Thuyết minh số 40),13.776.809.348,22.224.963.470,13776809348.0,22224963470.0
Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,,
- Công ty Cổ phần Vận tải Hàng hải Quốc Việt,Các khoản phải thu khác > - Công ty Cổ phần Vận tải Hàng hải Quốc Việt,- Công ty Cổ phần Vận tải Hàng hải Quốc Việt,-,13.412.516.490,,13412516490.0
- Các đối tượng khác,Các khoản phải thu khác > - Các đối tượng khác,- Các đối tượng khác,53.921.803.962,60.191.661.614,53921803962.0,60191661614.0
,,,299.776.867.536,215.876.218.957,299776867536.0,215876218957.0
b) Dài hạn,b) Dài hạn,b) Dài hạn,b) Dài hạn,b) Dài hạn,,
"Ký cược, ký quỹ","b) Dài hạn > Ký cược, ký quỹ","Ký cược, ký quỹ",19.506.596.158,13.803.810.129,19506596158.0,13803810129.0
Các khoản phải thu khác,b) Dài hạn > Các khoản phải thu khác,Các khoản phải thu khác,245.146.050,245.146.050,245146050.0,245146050.0
,,,19.751.742.208,14.048.956.179,19751742208.0,14048956179.0
