row_label_raw,row_label_full,col_0,Chỉ TIÊU,Mã số,Thuyết minh,Năm nay,Năm trước,numeric__Chỉ TIÊU,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,,7.382.693.923.902,7.758.369.916.321,,1.0,,7382693923902.0,7758369916321.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,,-,(736.364),,2.0,,,-736364.0
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,28,7.382.693.923.902,7.758.369.179.957,,10.0,28.0,7382693923902.0,7758369179957.0
4.,4.,4.,Giá vốn hàng bán và dịch vụ cung cấp,11,29,6.264.470.736.315,6.567.417.658.975,,11.0,29.0,6264470736315.0,6567417658975.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,1.118.223.187.587,1.190.951.520.982,,20.0,,1118223187587.0,1190951520982.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,31,272.212.217.378,221.013.930.768,,21.0,31.0,272212217378.0,221013930768.0
7.,7.,7.,Chi phí tài chính,22,32,173.689.228.736,192.947.512.930,,22.0,32.0,173689228736.0,192947512930.0
,,,- Trong đó: Chi phí lãi vay,23,,142.978.691.865,169.379.637.300,,23.0,,142978691865.0,169379637300.0
8.,8.,8.,Phần lãi trong công ty liên kết,24,13,29.649.082.386,34.035.075.394,,24.0,13.0,29649082386.0,34035075394.0
9.,9.,9.,Chi phí bán hàng,25,33,13.866.288.559,13.713.931.338,,25.0,33.0,13866288559.0,13713931338.0
10.,10.,10.,Chi phí quản lý doanh nghiệp,26,33,250.561.978.044,249.350.429.313,,26.0,33.0,250561978044.0,249350429313.0
11.,11.,11.,Lợi nhuận thuần từ hoạt động kinh doanh (30=20+24+(21-22)-(25+26)),30,,981.866.992.012,989.988.653.563,,30.0,,981866992012.0,989988653563.0
12.,12.,12.,Thu nhập khác,31,,75.499.031.033,33.538.717.601,,31.0,,75499031033.0,33538717601.0
13.,13.,13.,Chi phí khác,32,,17.884.954.096,7.367.960.658,,32.0,,17884954096.0,7367960658.0
14.,14.,14.,Lợi nhuận khác (40=31-32),40,34,57.614.076.937,26.170.756.943,,40.0,34.0,57614076937.0,26170756943.0
15.,15.,15.,Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,1.039.481.068.949,1.016.159.410.506,,50.0,,1039481068949.0,1016159410506.0
16.,16.,16.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,35,244.318.343.044,224.848.613.752,,51.0,35.0,244318343044.0,224848613752.0
17.,17.,17.,Thu nhập thuế thu nhập doanh nghiệp hoãn lại,52,16,(35.261.858.612),(29.372.804.372),,52.0,16.0,-35261858612.0,-29372804372.0
18.,18.,18.,Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,830.424.584.517,820.683.601.126,,60.0,,830424584517.0,820683601126.0
,,,Phân bổ cho:- Lợi nhuận sau thuế của cổ đông của Công ty mẹ,,,669.484.121.724,689.610.424.076,,,,669484121724.0,689610424076.0
,,,- Lợi nhuận sau thuế của cổ đông không kiểm soát,,,160.940.462.793,131.073.177.050,,,,160940462793.0,131073177050.0
19.,19.,19.,Lãi cơ bản trên cổ phiếu,70,36,1.946,2.004,,70.0,36.0,1946.0,2004.0
