row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm(trình bày lại),numeric__TÀI SẢN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm(trình bày lại)
A.,A.,A.,TÀI SẢN NGĂN HẠN,100,,4.662.070.740.676,3.840.714.530.411,,100.0,,4662070740676.0,3840714530411.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,4,1.472.901.602.636,1.207.921.258.308,,110.0,4.0,1472901602636.0,1207921258308.0
1.,1.,1.,Tiền,111,,226.926.288.424,227.948.169.563,,111.0,,226926288424.0,227948169563.0
2.,2.,2.,Các khoản tương đương tiền,112,,1.245.975.314.212,979.973.088.745,,112.0,,1245975314212.0,979973088745.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,,1.853.068.816.438,1.478.841.000.000,,120.0,,1853068816438.0,1478841000000.0
1.,1.,1.,Đầu tư nằm giữ đến ngày đáo hạn,123,5,1.853.068.816.438,1.478.841.000.000,,123.0,5.0,1853068816438.0,1478841000000.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,1.103.386.965.301,864.749.984.631,,130.0,,1103386965301.0,864749984631.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,6,889.653.073.285,752.250.226.554,,131.0,6.0,889653073285.0,752250226554.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,,12.942.277.527,10.686.062.657,,132.0,,12942277527.0,10686062657.0
3.,3.,3.,Phải thu ngắn hạn khác,136,7,299.776.867.536,215.876.218.957,,136.0,7.0,299776867536.0,215876218957.0
4.,4.,4.,Dự phòng phải thu ngắn hạn khó đòi,137,8,(98.985.253.047),(114.734.341.719),,137.0,8.0,-98985253047.0,-114734341719.0
5.,5.,5.,Tài sản thiếu chờ xử lý,139,,-,671.818.182,,139.0,,,671818182.0
IV.,IV.,IV.,Hàng tồn kho,140,9,112.296.418.440,127.002.278.394,,140.0,9.0,112296418440.0,127002278394.0
1.,1.,1.,Hàng tồn kho,141,,112.296.418.440,127.652.033.296,,141.0,,112296418440.0,127652033296.0
2.,2.,2.,Dự phòng giảm giá hàng tồn kho,149,,-,(649.754.902),,149.0,,,-649754902.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,120.416.937.861,162.200.009.078,,150.0,,120416937861.0,162200009078.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,,20.826.287.160,30.790.566.367,,151.0,,20826287160.0,30790566367.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,99.566.599.812,129.747.041.278,,152.0,,99566599812.0,129747041278.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,19,24.050.889,1.662.401.433,,153.0,19.0,24050889.0,1662401433.0
