row_label_raw,row_label_full,col_0,Giá trị ghi số > Số cuối năm VND,Giá trị ghi số > Số đầu năm VND,numeric__Giá trị ghi số > Số cuối năm VND,numeric__Giá trị ghi số > Số đầu năm VND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.472.901.602.636,1.207.921.258.308,1472901602636.0,1207921258308.0
Đầu tư tài chính,Tài sản tài chính > Đầu tư tài chính,Đầu tư tài chính,1.899.006.583.738,1.524.778.767.300,1899006583738.0,1524778767300.0
Phải thu khách hàng và phải thu khác,Tài sản tài chính > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,1.099.843.372.395,852.428.213.190,1099843372395.0,852428213190.0
Tổng cộng,Tài sản tài chính > Tổng cộng,Tổng cộng,4.471.751.558.769,3.585.128.238.798,4471751558769.0,3585128238798.0
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,,,
Các khoản vay,Công nợ tài chính > Các khoản vay,Các khoản vay,2.602.598.615.236,3.433.469.810.952,2602598615236.0,3433469810952.0
Phải trả người bán và phải trả khác,Công nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,1.236.401.944.380,1.089.588.938.306,1236401944380.0,1089588938306.0
Chi phí phải trả,Công nợ tài chính > Chi phí phải trả,Chi phí phải trả,145.435.704.725,125.208.501.040,145435704725.0,125208501040.0
Tổng cộng,Công nợ tài chính > Tổng cộng,Tổng cộng,3.984.436.264.341,4.648.267.250.298,3984436264341.0,4648267250298.0
