row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Quỹ đầu tư phát triển VND,Quỹ khác thuộc vốn chủ sở hữu VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng VND
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,2.814.401.620.000,314.558.047.216,47.218.399.245,846.506.898.174,1.116.872.943.055,5.139.557.907.690,2814401620000.0,314558047216.0,47218399245.0,846506898174.0,1116872943055.0,5139557907690.0
Tăng vốn trong năm,Tăng vốn trong năm,Tăng vốn trong năm,-,-,-,-,126.664.545.455,126.664.545.455,,,,,126664545455.0,126664545455.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,689.610.424.076,131.073.177.050,820.683.601.126,,,,689610424076.0,131073177050.0,820683601126.0
Cổ tức công bố,Cổ tức công bố,Cổ tức công bố,-,-,-,(281.442.162.000),(60.643.128.000),(342.085.290.000),,,,-281442162000.0,-60643128000.0,-342085290000.0
Phân phối quỹ,Phân phối quỹ,Phân phối quỹ,-,214.114.698.761,-,(214.114.698.761),-,-,,214114698761.0,,-214114698761.0,,
Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,-,-,-,(34.710.912.503),(6.741.548.538),(41.452.461.041),,,,-34710912503.0,-6741548538.0,-41452461041.0
"Thù lao Ban Tổng Giám đốc, Hội đồng Quản trị","Thù lao Ban Tổng Giám đốc, Hội đồng Quản trị","Thù lao Ban Tổng Giám đốc, Hội đồng Quản trị",-,-,-,(6.324.455.160),(1.093.777.166),(7.418.232.326),,,,-6324455160.0,-1093777166.0,-7418232326.0
Điều chỉnh lợi ích cổ đông không kiểm soát,Điều chỉnh lợi ích cổ đông không kiểm soát,Điều chỉnh lợi ích cổ đông không kiểm soát,-,-,-,(1.934.889.571),1.934.889.571,-,,,,-1934889571.0,1934889571.0,
Điều chỉnh khác,Điều chỉnh khác,Điều chỉnh khác,-,-,-,(6.685.481.540),1.701.201.540,(4.984.280.000),,,,-6685481540.0,1701201540.0,-4984280000.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,2.814.401.620.000,528.672.745.977,47.218.399.245,990.904.722.715,1.309.768.302.967,5.690.965.790.904,2814401620000.0,528672745977.0,47218399245.0,990904722715.0,1309768302967.0,5690965790904.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,669.484.121.724,160.940.462.793,830.424.584.517,,,,669484121724.0,160940462793.0,830424584517.0
Cổ tức công bố (*),Cổ tức công bố (*),Cổ tức công bố (*),422.110.840.000,-,-,(534.686.904.800),(67.774.424.000),(180.350.488.800),422110840000.0,,,-534686904800.0,-67774424000.0,-180350488800.0
Phân phối quỹ,Phân phối quỹ,Phân phối quỹ,-,197.592.104.961,-,(197.771.255.851),(188.942.165),(368.093.055),,197592104961.0,,-197771255851.0,-188942165.0,-368093055.0
Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,-,-,-,(41.001.422.458),(6.165.858.076),(47.167.280.534),,,,-41001422458.0,-6165858076.0,-47167280534.0
"Thù lao Ban Tổng Giám Đốc, Hội đồng Quản trị","Thù lao Ban Tổng Giám Đốc, Hội đồng Quản trị","Thù lao Ban Tổng Giám Đốc, Hội đồng Quản trị",-,-,-,(8.775.100.876),(1.641.814.345),(10.416.915.221),,,,-8775100876.0,-1641814345.0,-10416915221.0
Điều chỉnh khác,Điều chỉnh khác,Điều chỉnh khác,-,-,-,(2.443.740.152),(1.753.796.153),(4.197.536.305),,,,-2443740152.0,-1753796153.0,-4197536305.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,3.236.512.460.000,726.264.850.938,47.218.399.245,875.710.420.302,1.393.183.931.021,6.278.890.061.506,3236512460000.0,726264850938.0,47218399245.0,875710420302.0,1393183931021.0,6278890061506.0
