row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Phương tiệnvận tảiVND,Thiết bịvăn phòngVND,TổngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận tảiVND,numeric__Thiết bịvăn phòngVND,numeric__TổngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,7.363.371.330,9.953.883.085,10.672.163.257.697,15.826.607.342,10.705.307.119.454,7363371330.0,9953883085.0,10672163257697.0,15826607342.0,10705307119454.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,-,558.500.000,11.440.884.453,201.500.000,12.200.884.453,,558500000.0,11440884453.0,201500000.0,12200884453.0
Xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Xây dựng cơ bản hoàn thành,Xây dựng cơ bản hoàn thành,-,-,8.556.367.720,-,8.556.367.720,,,8556367720.0,,8556367720.0
Tăng khác,NGUYÊN GIÁ > Tăng khác,Tăng khác,-,-,2.100.229.844,2.306.835.500,4.407.065.344,,,2100229844.0,2306835500.0,4407065344.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(529.726.274),-,(191.067.816.903),-,(191.597.543.177),-529726274.0,,-191067816903.0,,-191597543177.0
Giảm khác,NGUYÊN GIÁ > Giảm khác,Giảm khác,-,-,(8.166.042),-,(8.166.042),,,-8166042.0,,-8166042.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,6.833.645.056,10.512.383.085,10.503.184.756.769,18.334.942.842,10.538.865.727.752,6833645056.0,10512383085.0,10503184756769.0,18334942842.0,10538865727752.0
GIÁ TRỊ HAO MÒN LUY KẾ,GIÁ TRỊ HAO MÒN LUY KẾ,GIÁ TRỊ HAO MÒN LUY KẾ,GIÁ TRỊ HAO MÒN LUY KẾ,GIÁ TRỊ HAO MÒN LUY KẾ,GIÁ TRỊ HAO MÒN LUY KẾ,GIÁ TRỊ HAO MÒN LUY KẾ,GIÁ TRỊ HAO MÒN LUY KẾ,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LUY KẾ > Số dư đầu năm,Số dư đầu năm,(873.850.336),(6.247.464.107),(3.907.160.939.010),(13.462.902.864),(3.927.745.156.317),-873850336.0,-6247464107.0,-3907160939010.0,-13462902864.0,-3927745156317.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LUY KẾ > Khấu hao trong năm,Khấu hao trong năm,(300.046.224),(357.852.487),(874.851.736.089),(994.419.081),(876.504.053.881),-300046224.0,-357852487.0,-874851736089.0,-994419081.0,-876504053881.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LUY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",476.753.632,-,127.868.388.707,-,128.345.142.339,476753632.0,,127868388707.0,,128345142339.0
Tăng khác,GIÁ TRỊ HAO MÒN LUY KẾ > Tăng khác,Tăng khác,-,-,(2.100.229.844),(2.306.835.500),(4.407.065.344),,,-2100229844.0,-2306835500.0,-4407065344.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LUY KẾ > Số dư cuối năm,Số dư cuối năm,(697.142.928),(6.605.316.594),(4.656.244.516.236),(16.764.157.445),(4.680.311.133.203),-697142928.0,-6605316594.0,-4656244516236.0,-16764157445.0,-4680311133203.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,6.136.502.128,3.907.066.491,5.846.940.240.533,1.570.785.397,5.858.554.594.549,6136502128.0,3907066491.0,5846940240533.0,1570785397.0,5858554594549.0
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,6.489.520.994,3.706.418.978,6.765.002.318.687,2.363.704.478,6.777.561.963.137,6489520994.0,3706418978.0,6765002318687.0,2363704478.0,6777561963137.0
