row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,numeric__Mối quan hệ
Tập đoàn Dầu khí Quốc gia Việt Nam,Tập đoàn Dầu khí Quốc gia Việt Nam,Tập đoàn Dầu khí Quốc gia Việt Nam,Công ty mẹ,
PV KEEZ Pte. Ltd,PV KEEZ Pte. Ltd,PV KEEZ Pte. Ltd,Công ty liên doanh,
Tổng Công ty Dầu Việt Nam,Tổng Công ty Dầu Việt Nam,Tổng Công ty Dầu Việt Nam,Công ty con của Tập đoàn Dầu khí Việt Nam,
Công ty Cổ phần Lộc hoá đầu Bình Sơn,Công ty Cổ phần Lộc hoá đầu Bình Sơn,Công ty Cổ phần Lộc hoá đầu Bình Sơn,Công ty con của Tập đoàn Dầu khí Việt Nam,
Công ty TNHH MTV Công nghiệp Tàu thủy Dung Quất,Công ty TNHH MTV Công nghiệp Tàu thủy Dung Quất,Công ty TNHH MTV Công nghiệp Tàu thủy Dung Quất,Công ty con của Tập đoàn Dầu khí Việt Nam,
Tổng Công ty Khí Việt Nam,Tổng Công ty Khí Việt Nam,Tổng Công ty Khí Việt Nam,Công ty con của Tập đoàn Dầu khí Việt Nam,
Tổng Công ty Phân bón và Hóa chất Dầu khí,Tổng Công ty Phân bón và Hóa chất Dầu khí,Tổng Công ty Phân bón và Hóa chất Dầu khí,Công ty con của Tập đoàn Dầu khí Việt Nam,
Tổng Công ty Thăm dò Khai thác Dầu khí (PVEP),Tổng Công ty Thăm dò Khai thác Dầu khí (PVEP),Tổng Công ty Thăm dò Khai thác Dầu khí (PVEP),Công ty con của Tập đoàn Dầu khí Việt Nam,
Tổng Công ty Cổ phần Bảo hiểm Dầu khí,Tổng Công ty Cổ phần Bảo hiểm Dầu khí,Tổng Công ty Cổ phần Bảo hiểm Dầu khí,Công ty con của Tập đoàn Dầu khí Việt Nam,
Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,Công ty con của Tập đoàn Dầu khí Việt Nam,
Tổng Công ty cổ phần Khoan và Dịch vụ khoan Dầu khí,Tổng Công ty cổ phần Khoan và Dịch vụ khoan Dầu khí,Tổng Công ty cổ phần Khoan và Dịch vụ khoan Dầu khí,Công ty con của Tập đoàn Dầu khí Việt Nam,
Tổng Công ty cổ phần Dịch vụ Tổng hợp Dầu khí,Tổng Công ty cổ phần Dịch vụ Tổng hợp Dầu khí,Tổng Công ty cổ phần Dịch vụ Tổng hợp Dầu khí,Công ty con của Tập đoàn Dầu khí Việt Nam,
Công ty Cổ phần Kinh doanh khí Miền Nam,Công ty Cổ phần Kinh doanh khí Miền Nam,Công ty Cổ phần Kinh doanh khí Miền Nam,Công ty thuộc Tổng Công ty Khí Việt Nam (Công ty con của Tập đoàn Dầu khí Việt Nam),
Liên doanh Việt-Nga Vietsovpetro,Liên doanh Việt-Nga Vietsovpetro,Liên doanh Việt-Nga Vietsovpetro,Công ty liên doanh của Tập đoàn Dầu khí Việt Nam,
Công ty Liên doanh Điều hành Cửu Long,Công ty Liên doanh Điều hành Cửu Long,Công ty Liên doanh Điều hành Cửu Long,Công ty liên doanh của Tập đoàn Dầu khí Việt Nam,
Công ty Điều hành Dầu khí Biển Đông,Công ty Điều hành Dầu khí Biển Đông,Công ty Điều hành Dầu khí Biển Đông,Chỉ nhánh của Tập đoàn Dầu khí Việt Nam,
Công ty Liên doanh Điều hành Hoàng Long,Công ty Liên doanh Điều hành Hoàng Long,Công ty Liên doanh Điều hành Hoàng Long,Công ty liên kết của Tổng Công ty Thăm dò Khai thác Dầu khí (PVEP) (Công ty con của PVN),
Ngân hàng Thương mại Cổ phần Đại chúng Việt Nam (trước đây là Tổng Công ty Tài chính Cổ phần Dầu khí Việt Nam),Ngân hàng Thương mại Cổ phần Đại chúng Việt Nam (trước đây là Tổng Công ty Tài chính Cổ phần Dầu khí Việt Nam),Ngân hàng Thương mại Cổ phần Đại chúng Việt Nam (trước đây là Tổng Công ty Tài chính Cổ phần Dầu khí Việt Nam),Thành viên Tập đoàn Dầu khí Việt Nam,
