row_label_raw,row_label_full,Số cuối năm,Dưới 1 nămVND > Số cuối năm,Từ 1 đến 5 nămVND > Số cuối năm,Trên 5 nămVND > Số cuối năm,TổngVND > Số cuối năm,numeric__Dưới 1 nămVND > Số cuối năm,numeric__Từ 1 đến 5 nămVND > Số cuối năm,numeric__Trên 5 nămVND > Số cuối năm,numeric__TổngVND > Số cuối năm
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.472.901.602.636,-,-,1.472.901.602.636,1472901602636.0,,,1472901602636.0
Đầu tư tài chính,Đầu tư tài chính,Đầu tư tài chính,1.853.068.816.438,-,45.937.767.300,1.899.006.583.738,1853068816438.0,,45937767300.0,1899006583738.0
Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,1.080.091.630.187,19.751.742.208,-,1.099.843.372.395,1080091630187.0,19751742208.0,,1099843372395.0
,,,4.406.062.049.261,19.751.742.208,45.937.767.300,4.471.751.558.769,4406062049261.0,19751742208.0,45937767300.0,4471751558769.0
Các khoản vay,Các khoản vay,Các khoản vay,615.118.710.370,1.708.030.072.765,279.449.832.101,2.602.598.615.236,615118710370.0,1708030072765.0,279449832101.0,2602598615236.0
Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,1.003.505.800.380,146.311.968.000,86.584.176.000,1.236.401.944.380,1003505800380.0,146311968000.0,86584176000.0,1236401944380.0
Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,140.596.758.022,4.838.946.703,-,145.435.704.725,140596758022.0,4838946703.0,,145435704725.0
,,,1.759.221.268.772,1.859.180.987.468,366.034.008.101,3.984.436.264.341,1759221268772.0,1859180987468.0,366034008101.0,3984436264341.0
Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,2.646.840.780.489,(1.839.429.245.260),(320.096.240.801),487.315.294.428,2646840780489.0,-1839429245260.0,-320096240801.0,487315294428.0
,,,Dưới 1 nămVND,Từ 1 đến 5 nămVND,Trên 5 nămVND,TổngVND,,,,
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,
Tiền và các khoản tương đương tiền,Số đầu năm > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.207.921.258.308,-,-,1.207.921.258.308,1207921258308.0,,,1207921258308.0
Đầu tư tài chính,Số đầu năm > Đầu tư tài chính,Đầu tư tài chính,1.478.841.000.000,-,45.937.767.300,1.524.778.767.300,1478841000000.0,,45937767300.0,1524778767300.0
Phải thu khách hàng và phải thu khác,Số đầu năm > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,838.379.257.011,14.048.956.179,-,852.428.213.190,838379257011.0,14048956179.0,,852428213190.0
,,,3.525.141.515.319,14.048.956.179,45.937.767.300,3.585.128.238.798,3525141515319.0,14048956179.0,45937767300.0,3585128238798.0
Các khoản vay,Số đầu năm > Các khoản vay,Các khoản vay,1.014.552.696.858,1.921.115.851.324,497.801.262.770,3.433.469.810.952,1014552696858.0,1921115851324.0,497801262770.0,3433469810952.0
Phải trả người bán và phải trả khác,Số đầu năm > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,826.075.698.306,148.067.672.000,115.445.568.000,1.089.588.938.306,826075698306.0,148067672000.0,115445568000.0,1089588938306.0
Chi phí phải trả,Số đầu năm > Chi phí phải trả,Chi phí phải trả,120.379.951.729,4.828.549.311,-,125.208.501.040,120379951729.0,4828549311.0,,125208501040.0
,,,1.961.008.346.893,2.074.012.072.635,613.246.830.770,4.648.267.250.298,1961008346893.0,2074012072635.0,613246830770.0,4648267250298.0
Chênh lệch thanh khoản thuần,Số đầu năm > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,1.564.133.168.426,(2.059.963.116.456),(567.309.063.470),(1.063.139.011.500),1564133168426.0,-2059963116456.0,-567309063470.0,-1063139011500.0
