row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm VND,Giấy chứng nhận VND,Tổng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm VND,numeric__Giấy chứng nhận VND,numeric__Tổng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,2.213.037.064,7.586.487.283,176.340.550,9.975.864.897,2213037064.0,7586487283.0,176340550.0,9975864897.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,-,577.245.640,-,577.245.640,,577245640.0,,577245640.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(2.213.037.064),-,-,(2.213.037.064),-2213037064.0,,,-2213037064.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,-,8.163.732.923,176.340.550,8.340.073.473,,8163732923.0,176340550.0,8340073473.0
GIÁ TRỊ HAO MÒN LƯỸ KẾ,GIÁ TRỊ HAO MÒN LƯỸ KẾ,GIÁ TRỊ HAO MÒN LƯỸ KẾ,GIÁ TRỊ HAO MÒN LƯỸ KẾ,GIÁ TRỊ HAO MÒN LƯỸ KẾ,GIÁ TRỊ HAO MÒN LƯỸ KẾ,GIÁ TRỊ HAO MÒN LƯỸ KẾ,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LƯỸ KẾ > Số dư đầu năm,Số dư đầu năm,(255.528.392),(5.953.603.220),(156.548.893),(6.365.680.505),-255528392.0,-5953603220.0,-156548893.0,-6365680505.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LƯỸ KẾ > Khấu hao trong năm,Khấu hao trong năm,-,(770.519.096),(12.500.000),(783.019.096),,-770519096.0,-12500000.0,-783019096.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LƯỸ KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",255.528.392,-,52.972.632,308.501.024,255528392.0,,52972632.0,308501024.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LƯỸ KẾ > Số dư cuối năm,Số dư cuối năm,-,(6.724.122.316),(116.076.261),(6.840.198.577),,-6724122316.0,-116076261.0,-6840198577.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,-,1.439.610.607,60.264.289,1.499.874.896,,1439610607.0,60264289.0,1499874896.0
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,1.957.508.672,1.632.884.063,19.791.657,3.610.184.392,1957508672.0,1632884063.0,19791657.0,3610184392.0
