row_label_raw,row_label_full,col_0,VND,VND_1,numeric__VND,numeric__VND_1
,,,Số cuối năm,Số đầu năm,,
Ngắn hạn,Ngắn hạn,Ngắn hạn,"518,599,409,258",390.391.360.669,,390391360669.0
Chi phí thuê cửa hàng,Chi phí thuê cửa hàng,Chi phí thuê cửa hàng,381.775.234.167,356.914.777.212,381775234167.0,356914777212.0
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",76.262.844.901,17.836.888.633,76262844901.0,17836888633.0
Chi phí thiết kế cửa hàng,Chi phí thiết kế cửa hàng,Chi phí thiết kế cửa hàng,360.891.965,1.845.561.507,360891965.0,1845561507.0
Khác,Khác,Khác,60.200.438.225,13.794.133.317,60200438225.0,13794133317.0
Dài hạn,Dài hạn,Dài hạn,63.643.388.286,68.471.833.530,63643388286.0,68471833530.0
Dịch vụ kỹ thuật trả trước cho nhiều kỳ,Dịch vụ kỹ thuật trả trước cho nhiều kỳ,Dịch vụ kỹ thuật trả trước cho nhiều kỳ,28.109.183.769,1.725.090.001,28109183769.0,1725090001.0
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",17.777.216.911,19.808.945.243,17777216911.0,19808945243.0
Chi phí thuê cửa hàng,Chi phí thuê cửa hàng,Chi phí thuê cửa hàng,7.597.948.480,7.677.687.318,7597948480.0,7677687318.0
Chi phí thiết kế cửa hàng,Chi phí thiết kế cửa hàng,Chi phí thiết kế cửa hàng,2.518.804.423,12.510.473.848,2518804423.0,12510473848.0
Chi phí thu xếp khoản vay,Chi phí thu xếp khoản vay,Chi phí thu xếp khoản vay,-,14.267.326.363,,14267326363.0
Khác,Khác,Khác,7.640.234.703,12.482.310.757,7640234703.0,12482310757.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,582.242.797.544,458.863.194.199,582242797544.0,458863194199.0
