row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Chênh lệch Lợi nhuận sau thuế chưa tỷ giá,phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Chênh lệch Lợi nhuận sau thuế chưa tỷ giá,numeric__phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,14.633.767.160.000,558.110.430.986,(9.783.280.000),3.739.030.306,8.160.323.595.574,13.401.030.472,23.359.557.967.338,14633767160000.0,558110430986.0,-9783280000.0,3739030306.0,8160323595574.0,13401030472.0,23359557967338.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,3.721.868.441.661,11.419.787.059,3.733.288.228.720,,,,,3721868441661.0,11419787059.0,3733288228720.0
Hủy cổ phiếu quỹ,Năm trước > Hủy cổ phiếu quỹ,Hủy cổ phiếu quỹ,(11.325.390.000),-,11.325.390.000,-,-,-,-,-11325390000.0,,11325390000.0,,,,
Mua cổ phiếu quỹ,Năm trước > Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,-,-,(9.141.790.000),-,-,-,(9.141.790.000),,,-9141790000.0,,,,-9141790000.0
Chia cổ tức tiền,Năm trước > Chia cổ tức tiền,Chia cổ tức tiền,-,-,-,-,(730.957.694.000),(1.523.581.068),(732.481.275.068),,,,,-730957694000.0,-1523581068.0,-732481275068.0
Góp vốn,Năm trước > Góp vốn,Góp vốn,-,-,-,-,-,1.771.634.338.542,1.771.634.338.542,,,,,,1771634338542.0,1771634338542.0
Thay đổi tỷ lệ sở hữu trong công ty con,Năm trước > Thay đổi tỷ lệ sở hữu trong công ty con,Thay đổi tỷ lệ sở hữu trong công ty con,-,-,-,-,1.430.910.923.607,(1.430.910.923.607),-,,,,,1430910923607.0,-1430910923607.0,
Chênh lệch tỷ giá,Năm trước > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,-,-,(1.280.645.677),-,-,(1.280.645.677),,,,-1280645677.0,,,-1280645677.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,14.622.441.770.000,558.110.430.986,(7.599.680.000),2.458.384.629,12.582.145.266.842,364.020.651.398,28.121.576.823.855,14622441770000.0,558110430986.0,-7599680000.0,2458384629.0,12582145266842.0,364020651398.0,28121576823855.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,14.622.441.770.000,558.110.430.986,(7.599.680.000),2.458.384.629,12.582.145.266.842,364.020.651.398,28.121.576.823.855,14622441770000.0,558110430986.0,-7599680000.0,2458384629.0,12582145266842.0,364020651398.0,28121576823855.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,7.033.730.770.169,38.892.115.706,7.072.622.885.875,,,,,7033730770169.0,38892115706.0,7072622885875.0
Phát hành cổ phiếu theo chương trình ESOP (i),Năm nay > Phát hành cổ phiếu theo chương trình ESOP (i),Phát hành cổ phiếu theo chương trình ESOP (i),174.490.000.000,-,-,-,-,-,174.490.000.000,174490000000.0,,,,,,174490000000.0
Mua lại cổ phiếu quỹ (ii),Năm nay > Mua lại cổ phiếu quỹ (ii),Mua lại cổ phiếu quỹ (ii),,,(4.764.460.000),-,-,-,(4.764.460.000),,,-4764460000.0,,,,-4764460000.0
Mua lại cổ phiếu quỹ để giảm vốn cổ phần (iii),Năm nay > Mua lại cổ phiếu quỹ để giảm vốn cổ phần (iii),Mua lại cổ phiếu quỹ để giảm vốn cổ phần (iii),-,-,(811.106.251.046),-,-,-,(811.106.251.046),,,-811106251046.0,,,,-811106251046.0
