row_label_raw,row_label_full,Ông Nguyễn Đức Tài,Chủ tịch,col_2,numeric__Chủ tịch,numeric__col_2
Ông Phạm Văn Trọng,Ông Phạm Văn Trọng,Ông Phạm Văn Trọng,Thành viên điều hành,bổ nhiệm ngày 26 tháng 4 năm 2025,,
Ông Vũ Đăng Linh,Ông Vũ Đăng Linh,Ông Vũ Đăng Linh,Thành viên điều hành,bổ nhiệm ngày 26 tháng 4 năm 2025,,
Ông Đoàn Văn Hiểu Em,Ông Đoàn Văn Hiểu Em,Ông Đoàn Văn Hiểu Em,Thành viên điều hành,,,
Ông Trần Huy Thanh Tùng,Ông Trần Huy Thanh Tùng,Ông Trần Huy Thanh Tùng,Thành viên điều hành,hết nhiệm kỳ ngày 26 tháng 4 năm 2025,,
Ông Đăng Minh Lương,Ông Đăng Minh Lương,Ông Đăng Minh Lương,Thành viên điều hành,hết nhiệm kỳ ngày 26 tháng 4 năm 2025,,
Ông Thomas Lanyi,Ông Thomas Lanyi,Ông Thomas Lanyi,Thành viên không điều hành,,,
Ông Robert Willett,Ông Robert Willett,Ông Robert Willett,Thành viên không điều hành,,,
Ông Nguyễn Tiến Trung,Ông Nguyễn Tiến Trung,Ông Nguyễn Tiến Trung,Thành viên độc lập,,,
Ông Đỗ Tiến Sĩ,Ông Đỗ Tiến Sĩ,Ông Đỗ Tiến Sĩ,Thành viên độc lập,,,
Ông Đào Thế Vinh,Ông Đào Thế Vinh,Ông Đào Thế Vinh,Thành viên độc lập,hết nhiệm kỳ ngày 26 tháng 4 năm 2025,,
