row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc",Phương tiện vận tải,Thiết bị văn phòng,VND Tổng cộng,"numeric__Nhà cửa, vật kiến trúc",numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,15.904.543.765.405,574.286.899.828,2.695.795.718.519,19.174.626.383.752,15904543765405.0,574286899828.0,2695795718519.0,19174626383752.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,438.880.131.071,42.475.074.913,356.748.400.819,838.103.606.803,438880131071.0,42475074913.0,356748400819.0,838103606803.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,80.212.678.432,-,23.086.339.587,103.299.018.019,80212678432.0,,23086339587.0,103299018019.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(562.103.956.445),(618.616.055),(74.139.016.024),(636.861.588.524),-562103956445.0,-618616055.0,-74139016024.0,-636861588524.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,(967.185.186),-,(967.185.186),,-967185186.0,,-967185186.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,15.861.532.618.463,615.176.173.500,3.001.491.442.901,19.478.200.234.864,15861532618463.0,615176173500.0,3001491442901.0,19478200234864.0
Trong đó:- Đã khấu hao hết,Nguyên giá > Trong đó:- Đã khấu hao hết,Trong đó:- Đã khấu hao hết,8.865.465.260.607,267.651.547.063,1.836.488.496.674,10.969.605.304.344,8865465260607.0,267651547063.0,1836488496674.0,10969605304344.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,
Số đầu năm,Giá trị khấu hao lũy kế > Số đầu năm,Số đầu năm,(12.890.379.511.860),(450.149.997.570),(2.310.935.776.416),(15.651.465.285.846),-12890379511860.0,-450149997570.0,-2310935776416.0,-15651465285846.0
Khẩu hao trong năm,Giá trị khấu hao lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,(1.603.941.235.761),(67.944.242.357),(213.643.960.851),(1.885.529.438.969),-1603941235761.0,-67944242357.0,-213643960851.0,-1885529438969.0
Thanh lý,Giá trị khấu hao lũy kế > Thanh lý,Thanh lý,525.312.442.879,618.616.055,72.700.352.140,598.631.411.074,525312442879.0,618616055.0,72700352140.0,598631411074.0
Phân loại lại,Giá trị khấu hao lũy kế > Phân loại lại,Phân loại lại,-,237.399.984,-,237.399.984,,237399984.0,,237399984.0
Số cuối năm,Giá trị khấu hao lũy kế > Số cuối năm,Số cuối năm,(13.969.008.304.742),(517.238.223.888),(2.451.879.385.127),(16.938.125.913.757),-13969008304742.0,-517238223888.0,-2451879385127.0,-16938125913757.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,3.014.164.253.545,124.136.902.258,384.859.942.103,3.523.161.097.906,3014164253545.0,124136902258.0,384859942103.0,3523161097906.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,1.892.524.313.721,97.937.949.612,549.612.057.774,2.540.074.321.107,1892524313721.0,97937949612.0,549612057774.0,2540074321107.0
