row_label_raw,row_label_full,col_0,Bảng cân đốikế toán hợp nhất,Bảng cân đốikế toán hợp nhất_1,Bảo cáo kết quả hoạt độngkinh doanh hợp nhất,Bảo cáo kết quả hoạt độngkinh doanh hợp nhất_1,numeric__Bảng cân đốikế toán hợp nhất,numeric__Bảng cân đốikế toán hợp nhất_1,numeric__Bảo cáo kết quả hoạt độngkinh doanh hợp nhất,numeric__Bảo cáo kết quả hoạt độngkinh doanh hợp nhất_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,,,,
Các khoản chí phí phải trả,Tài sản thuế TNDN hoãn lại > Các khoản chí phí phải trả,Các khoản chí phí phải trả,190.596.948.372,156.837.132.369,33.759.816.003,159.913.555.198,190596948372.0,156837132369.0,33759816003.0,159913555198.0
Dự phòng giảm giá hàng tổn kho,Tài sản thuế TNDN hoãn lại > Dự phòng giảm giá hàng tổn kho,Dự phòng giảm giá hàng tổn kho,121.918.831.002,84.619.537.188,37.299.293.814,43.729.757.804,121918831002.0,84619537188.0,37299293814.0,43729757804.0
Doanh thu chưa thực hiện,Tài sản thuế TNDN hoãn lại > Doanh thu chưa thực hiện,Doanh thu chưa thực hiện,107.387.343.689,4.344.639.601,103.042.704.087,-,107387343689.0,4344639601.0,103042704087.0,
ngắn hạn,Tài sản thuế TNDN hoãn lại > ngắn hạn,ngắn hạn,17.899.612.226,14.047.933.383,3.851.678.843,460.772.514,17899612226.0,14047933383.0,3851678843.0,460772514.0
Dự phòng chi phí bảo hành,Tài sản thuế TNDN hoãn lại > Dự phòng chi phí bảo hành,Dự phòng chi phí bảo hành,11.149.953.660,23.978.442.413,(12.828.488.753),(15.263.363.220),11149953660.0,23978442413.0,-12828488753.0,-15263363220.0
Lợi nhuận chưa thực hiện,Tài sản thuế TNDN hoãn lại > Lợi nhuận chưa thực hiện,Lợi nhuận chưa thực hiện,2.156.143.410,6.175.722.101,(4.019.578.691),-,2156143410.0,6175722101.0,-4019578691.0,
Chi phí khấu hao Chênh lệch tỷ giá hối đoái,Tài sản thuế TNDN hoãn lại > Chi phí khấu hao Chênh lệch tỷ giá hối đoái,Chi phí khấu hao Chênh lệch tỷ giá hối đoái,(11.426.394),(20.826.708),9.400.314,52.918.852,-11426394.0,-20826708.0,9400314.0,52918852.0
,,,451.097.405.965,289.982.580.347,,,451097405965.0,289982580347.0,,
