row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > Giảm,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > Giảm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ
,,,VND,VND,VND,VND,VND,VND,,,,,,
Vay dài hạn,Vay dài hạn,Vay dài hạn,4.813.997.880.000,4.813.997.880.000,-,15.623.100.000,4.798.374.780.000,4.798.374.780.000,4813997880000.0,4813997880000.0,,15623100000.0,4798374780000.0,4798374780000.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,4.813.997.880.000,4.813.997.880.000,-,15.623.100.000,4.798.374.780.000,4.798.374.780.000,4813997880000.0,4813997880000.0,,15623100000.0,4798374780000.0,4798374780000.0
Trong đó:- Số phải trả trong vòng 12 tháng- Số phải trả sau 12 tháng,Trong đó:- Số phải trả trong vòng 12 tháng- Số phải trả sau 12 tháng,Trong đó:- Số phải trả trong vòng 12 tháng- Số phải trả sau 12 tháng,4.813.997.880.000,,,,1.919.644.760.0002.878.730.020.000,,4813997880000.0,,,,1.9196447600002878e+25,
Các khoản vay dài hạn bao gồm:,Các khoản vay dài hạn bao gồm:,Các khoản vay dài hạn bao gồm:,Các khoản vay dài hạn bao gồm:,Các khoản vay dài hạn bao gồm:,Các khoản vay dài hạn bao gồm:,Các khoản vay dài hạn bao gồm:,Các khoản vay dài hạn bao gồm:,Các khoản vay dài hạn bao gồm:,,,,,,
,,,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,,,,,,
,,,Giá trị,Nợ dài hạn đến hạn trả,Nợ phải trả sau 12 tháng,Giá trị,Nợ dài hạn đến hạn trả,Nợ phải trả sau 12 tháng,,,,,,
,,,VND,VND,VND,VND,VND,VND,,,,,,
Vay dài hạnNgân hàng Phát triển Việt Nam - Chi nhánh Quảng Ngãi,Các khoản vay dài hạn bao gồm: > Vay dài hạnNgân hàng Phát triển Việt Nam - Chi nhánh Quảng Ngãi,Vay dài hạnNgân hàng Phát triển Việt Nam - Chi nhánh Quảng Ngãi,4.798.374.780.000,1.919.644.760.000,2.878.730.020.000,4.813.997.880.000,-,4.813.997.880.000,4798374780000.0,1919644760000.0,2878730020000.0,4813997880000.0,,4813997880000.0
Vay dài hạnNgân hàng Phát triển Việt Nam - Chi nhánh Quảng Ngãi,Các khoản vay dài hạn bao gồm: > Vay dài hạnNgân hàng Phát triển Việt Nam - Chi nhánh Quảng Ngãi,Vay dài hạnNgân hàng Phát triển Việt Nam - Chi nhánh Quảng Ngãi,4.798.374.780.000,1.919.644.760.000,2.878.730.020.000,4.813.997.880.000,-,4.813.997.880.000,4798374780000.0,1919644760000.0,2878730020000.0,4813997880000.0,,4813997880000.0
