row_label_raw,row_label_full,col_0,Nhà xưởngvà vật kiến trúc,Máy mócvà thiết bị,"Phương tiện vận tải,thiết bị truyền dẫn",Thiết bịvăn phòng,Tài sản cố định hữuhình khác,Tổng,numeric__Nhà xưởngvà vật kiến trúc,numeric__Máy mócvà thiết bị,"numeric__Phương tiện vận tải,thiết bị truyền dẫn",numeric__Thiết bịvăn phòng,numeric__Tài sản cố định hữuhình khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,6.408.287.304.619,38.215.617.719.344,154.315.549.584,558.314.642.549,554.667.912,45.337.089.884.008,6408287304619.0,38215617719344.0,154315549584.0,558314642549.0,554667912.0,45337089884008.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,56.422.614.347,-,3.525.560.574,-,59.948.174.921,,56422614347.0,,3525560574.0,,59948174921.0
Giảm khác,NGUYÊN GIÁ > Giảm khác,Giảm khác,-,(21.500.000),-,-,-,(21.500.000),,-21500000.0,,,,-21500000.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,6.408.287.304.619,38.272.018.833.691,154.315.549.584,561.840.203.123,554.667.912,45.397.016.558.929,6408287304619.0,38272018833691.0,154315549584.0,561840203123.0,554667912.0,45397016558929.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,2.660.462.317.969,19.201.330.160.133,94.874.729.423,332.601.494.505,503.334.591,22.289.772.036.621,2660462317969.0,19201330160133.0,94874729423.0,332601494505.0,503334591.0,22289772036621.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,264.995.788.219,2.026.742.156.136,11.314.578.767,82.979.338.272,18.666.672,2.386.050.528.066,264995788219.0,2026742156136.0,11314578767.0,82979338272.0,18666672.0,2386050528066.0
"Khấu hao tài sản của dự án,tài sản cho mục đích phúc lợi","GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao tài sản của dự án,tài sản cho mục đích phúc lợi","Khấu hao tài sản của dự án,tài sản cho mục đích phúc lợi",182.806.359,460.036.680,-,215.001.304,-,857.844.343,182806359.0,460036680.0,,215001304.0,,857844343.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,2.925.640.912.547,21.228.532.352.949,106.189.308.190,415.795.834.081,522.001.263,24.676.680.409.030,2925640912547.0,21228532352949.0,106189308190.0,415795834081.0,522001263.0,24676680409030.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Số dư đầu năm,GIÁ TRỊ CÒN LẠI > Số dư đầu năm,Số dư đầu năm,3.747.824.986.650,19.014.287.559.211,59.440.820.161,225.713.148.044,51.333.321,23.047.317.847.387,3747824986650.0,19014287559211.0,59440820161.0,225713148044.0,51333321.0,23047317847387.0
Số dư cuối năm,GIÁ TRỊ CÒN LẠI > Số dư cuối năm,Số dư cuối năm,3.482.646.392.072,17.043.486.480.742,48.126.241.394,146.044.369.042,32.666.649,20.720.336.149.899,3482646392072.0,17043486480742.0,48126241394.0,146044369042.0,32666649.0,20720336149899.0
