row_label_raw,row_label_full,col_0,Chỉ TIÊU,Thuyết > Mã số,Thuyết > minh,Thuyết > Năm nay,Đơn vị: VND > Năm trước,numeric__Chỉ TIÊU,numeric__Thuyết > Mã số,numeric__Thuyết > minh,numeric__Thuyết > Năm nay,numeric__Đơn vị: VND > Năm trước
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,24,57.895.323.757.871,102.724.546.230.672,,1.0,24.0,57895323757871.0,102724546230672.0
2.,2.,2.,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01),10,,57.895.323.757.871,102.724.546.230.672,,10.0,,57895323757871.0,102724546230672.0
3.,3.,3.,Giá vốn hàng bán và dịch vụ cung cấp,11,25,60.063.500.340.583,98.697.523.697.030,,11.0,25.0,60063500340583.0,98697523697030.0
4.,4.,4.,(Lỗ)/lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,(2.168.176.582.712),4.027.022.533.642,,20.0,,-2168176582712.0,4027022533642.0
5.,5.,5.,Doanh thu hoạt động tài chính,21,27,667.899.110.481,540.611.746.886,,21.0,27.0,667899110481.0,540611746886.0
6.,6.,6.,Chi phí tài chính,22,28,519.866.253.906,450.120.163.243,,22.0,28.0,519866253906.0,450120163243.0
,,,- Trong đó: Chi phí lãi vay,23,,273.410.269.857,311.410.605.185,,23.0,,273410269857.0,311410605185.0
7.,7.,7.,Chi phí bán hàng,25,29,548.015.340.700,710.446.673.326,,25.0,29.0,548015340700.0,710446673326.0
8.,8.,8.,Chi phí quản lý doanh nghiệp,26,29,267.059.178.441,380.575.353.148,,26.0,29.0,267059178441.0,380575353148.0
9.,9.,9.,(Lỗ)/lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),30,,(2.835.218.245.278),3.026.492.090.811,,30.0,,-2835218245278.0,3026492090811.0
10.,10.,10.,Thu nhập khác,31,30,23.726.930.110,65.215.359.148,,31.0,30.0,23726930110.0,65215359148.0
11.,11.,11.,Chi phí khác,32,31,994.074.288,4.191.802.214,,32.0,31.0,994074288.0,4191802214.0
12.,12.,12.,Lợi nhuận khác (40=31-32),40,,22.732.855.822,61.023.556.934,,40.0,,22732855822.0,61023556934.0
13.,13.,13.,Tổng (lỗ)/lợi nhuận kế toán trước thuế,50,,(2.812.485.389.456),3.087.515.647.745,,50.0,,-2812485389456.0,3087515647745.0
14.,14.,14.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,32,(100.481.600),175.094.251.662,,51.0,32.0,-100481600.0,175094251662.0
15.,15.,15.,(Lỗ)/lợi nhuận sau thuế thu nhập,60,,(2.812.384.907.856),2.912.421.396.083,,60.0,,-2812384907856.0,2912421396083.0
