row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > Giảm,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > Giảm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ
,,,VND,VND,VND,VND,VND,VND,,,,,,
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,400.000.000.000,400.000.000.000,40.515.427.121.934,33.803.617.608.029,7.111.809.513.905,7.111.809.513.905,400000000000.0,400000000000.0,40515427121934.0,33803617608029.0,7111809513905.0,7111809513905.0
Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Thành phố Hà Nội,Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Thành phố Hà Nội,Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Thành phố Hà Nội,-,-,26.580.356.681.939,22.425.907.522.624,4.154.449.159.315,4.154.449.159.315,,,26580356681939.0,22425907522624.0,4154449159315.0,4154449159315.0
Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Quảng Ngãi,Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Quảng Ngãi,Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Quảng Ngãi,-,-,3.839.226.911.071,2.101.866.556.481,1.737.360.354.590,1.737.360.354.590,,,3839226911071.0,2101866556481.0,1737360354590.0,1737360354590.0
Ngân hàng TNHH MTV HSBC (Việt Nam) - Chi nhánh Hà Nội,Ngân hàng TNHH MTV HSBC (Việt Nam) - Chi nhánh Hà Nội,Ngân hàng TNHH MTV HSBC (Việt Nam) - Chi nhánh Hà Nội,-,-,2.700.000.000.000,1.850.000.000.000,850.000.000.000,850.000.000.000,,,2700000000000.0,1850000000000.0,850000000000.0,850000000000.0
Ngân hàng BNP Paribas - Chi nhánh Hà Nội,Ngân hàng BNP Paribas - Chi nhánh Hà Nội,Ngân hàng BNP Paribas - Chi nhánh Hà Nội,-,-,1.535.000.000.000,1.165.000.000.000,370.000.000.000,370.000.000.000,,,1535000000000.0,1165000000000.0,370000000000.0,370000000000.0
Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh - Hội sở chính,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh - Hội sở chính,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh - Hội sở chính,-,-,2.742.965.037.349,2.742.965.037.349,-,-,,,2742965037349.0,2742965037349.0,,
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Quảng Ngãi,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Quảng Ngãi,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Quảng Ngãi,-,-,2.664.212.989.201,2.664.212.989.201,-,-,,,2664212989201.0,2664212989201.0,,
Ngân hàng TMCP Xuất Nhập Khẩu Việt Nam - Chi nhánh Long Biên,Ngân hàng TMCP Xuất Nhập Khẩu Việt Nam - Chi nhánh Long Biên,Ngân hàng TMCP Xuất Nhập Khẩu Việt Nam - Chi nhánh Long Biên,400.000.000.000,400.000.000.000,313.665.502.374,713.665.502.374,-,-,400000000000.0,400000000000.0,313665502374.0,713665502374.0,,
Ngân hàng TMCP Tiên Phong,Ngân hàng TMCP Tiên Phong,Ngân hàng TMCP Tiên Phong,-,-,140.000.000.000,140.000.000.000,-,-,,,140000000000.0,140000000000.0,,
Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,-,-,3.845.539.720.000,1.925.894.960.000,1.919.644.760.000,1.919.644.760.000,,,3845539720000.0,1925894960000.0,1919644760000.0,1919644760000.0
Tập đoàn Dầu khí Việt Nam (xem Thuyết minh số 17),Tập đoàn Dầu khí Việt Nam (xem Thuyết minh số 17),Tập đoàn Dầu khí Việt Nam (xem Thuyết minh số 17),-,-,1.925.894.960.000,1.925.894.960.000,-,-,,,1925894960000.0,1925894960000.0,,
Ngân hàng Phát triển Việt Nam - Chi nhánh Quảng Ngãi (xem Thuyết minh số 19),Ngân hàng Phát triển Việt Nam - Chi nhánh Quảng Ngãi (xem Thuyết minh số 19),Ngân hàng Phát triển Việt Nam - Chi nhánh Quảng Ngãi (xem Thuyết minh số 19),-,-,1.919.644.760.000,-,1.919.644.760.000,1.919.644.760.000,,,1919644760000.0,,1919644760000.0,1919644760000.0
,,,400.000.000.000,400.000.000.000,44.360.966.841.934,35.729.512.568.029,9.031.454.273.905,9.031.454.273.905,400000000000.0,400000000000.0,44360966841934.0,35729512568029.0,9031454273905.0,9031454273905.0
