row_label_raw,row_label_full,col_0,"Bản quyền,bằng sáng chế",Phần mềmmáy tính,Tài sản cố địnhvô hình khác,Tổng,"numeric__Bản quyền,bằng sáng chế",numeric__Phần mềmmáy tính,numeric__Tài sản cố địnhvô hình khác,numeric__Tổng
,,,VND,VND,VND,VND,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,438.606.719.617,323.668.920.400,32.703.172.505,794.978.812.522,438606719617.0,323668920400.0,32703172505.0,794978812522.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,15.769.228.200,-,15.769.228.200,,15769228200.0,,15769228200.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,438.606.719.617,339.438.148.600,32.703.172.505,810.748.040.722,438606719617.0,339438148600.0,32703172505.0,810748040722.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,269.131.395.668,150.357.604.806,27.678.067.596,447.167.068.070,269131395668.0,150357604806.0,27678067596.0,447167068070.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,23.834.425.667,55.652.149.615,479.563.620,79.966.138.902,23834425667.0,55652149615.0,479563620.0,79966138902.0
"Khấu hao tài sản của dự án,tài sản cho mục đích phúc lợi","GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao tài sản của dự án,tài sản cho mục đích phúc lợi","Khấu hao tài sản của dự án,tài sản cho mục đích phúc lợi",-,917.673.360,-,917.673.360,,917673360.0,,917673360.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,292.965.821.335,206.927.427.781,28.157.631.216,528.050.880.332,292965821335.0,206927427781.0,28157631216.0,528050880332.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,
Số dư đầu năm,GIÁ TRỊ CÒN LẠI > Số dư đầu năm,Số dư đầu năm,169.475.323.949,173.311.315.594,5.025.104.909,347.811.744.452,169475323949.0,173311315594.0,5025104909.0,347811744452.0
Số dư cuối năm,GIÁ TRỊ CÒN LẠI > Số dư cuối năm,Số dư cuối năm,145.640.898.282,132.510.720.819,4.545.541.289,282.697.160.390,145640898282.0,132510720819.0,4545541289.0,282697160390.0
