row_label_raw,row_label_full,col_0,TÀI SẢN,Thuyết > Mã số,Thuyết > minh,Thuyết > Số cuối năm,Đơn vị: VND > Số đầu năm,numeric__TÀI SẢN,numeric__Thuyết > Mã số,numeric__Thuyết > minh,numeric__Thuyết > Số cuối năm,numeric__Đơn vị: VND > Số đầu năm
A.,A.,A.,TÀI SẢN NGẮN HẠN,100,,29.842.471.063.854,26.763.219.059.007,,100.0,,29842471063854.0,26763219059007.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,4,12.766.884.570.949,8.319.298.565.883,,110.0,4.0,12766884570949.0,8319298565883.0
1.,1.,1.,Tiền,111,,283.254.875.440,384.668.870.374,,111.0,,283254875440.0,384668870374.0
2.,2.,2.,Các khoản tương đương tiền,112,,12.483.629.695.509,7.934.629.695.509,,112.0,,12483629695509.0,7934629695509.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,5,902.000.000.000,2.000.000.000,,120.0,5.0,902000000000.0,2000000000.0
1.,1.,1.,Đầu tư nắm giữ đến ngày đáo hạn,123,,902.000.000.000,2.000.000.000,,123.0,,902000000000.0,2000000000.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,7.772.144.533.109,9.920.309.508.712,,130.0,,7772144533109.0,9920309508712.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,6,7.647.434.093.543,9.756.155.809.041,,131.0,6.0,7647434093543.0,9756155809041.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,7,69.418.576.921,110.941.745.898,,132.0,7.0,69418576921.0,110941745898.0
3.,3.,3.,Phải thu ngắn hạn khác,136,8,55.290.627.012,51.098.609.976,,136.0,8.0,55290627012.0,51098609976.0
4.,4.,4.,Tài sản thiếu chờ xử lý,139,,1.235.633,2.113.343.797,,139.0,,1235633.0,2113343797.0
IV.,IV.,IV.,Hàng tồn kho,140,9,8.360.188.031.858,8.475.333.350.140,,140.0,9.0,8360188031858.0,8475333350140.0
1.,1.,1.,Hàng tồn kho,141,,8.380.560.084.372,8.493.105.831.582,,141.0,,8380560084372.0,8493105831582.0
2.,2.,2.,Dự phòng giảm giá hàng tồn kho,149,,(20.372.052.514),(17.772.481.442),,149.0,,-20372052514.0,-17772481442.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,41.253.927.938,46.277.634.272,,150.0,,41253927938.0,46277634272.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,10,38.335.477.061,43.469.758.885,,151.0,10.0,38335477061.0,43469758885.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,-,1.271.726,,152.0,,,1271726.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,13,2.918.450.877,2.806.603.661,,153.0,13.0,2918450877.0,2806603661.0
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,24.666.791.177.638,25.454.993.387.089,,200.0,,24666791177638.0,25454993387089.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,540.500.627.486,542.434.551.736,,210.0,,540500627486.0,542434551736.0
1.,1.,1.,Trả trước cho người bán dài hạn,212,7,533.509.547.749,533.509.547.749,,212.0,7.0,533509547749.0,533509547749.0
2.,2.,2.,Phải thu về cho vay dài hạn,215,,6.991.079.737,8.925.003.987,,215.0,,6991079737.0,8925003987.0
II.,II.,II.,Tài sản cố định,220,,21.003.033.310.289,23.395.129.591.839,,220.0,,21003033310289.0,23395129591839.0
1.,1.,1.,Tài sản cố định hữu hình,221,11,20.720.336.149.899,23.047.317.847.387,,221.0,11.0,20720336149899.0,23047317847387.0
,,,- Nguyên giá,222,,45.397.016.558.929,45.337.089.884.008,,222.0,,45397016558929.0,45337089884008.0
,,,- Giá trị hao mòn lũy kế,223,,(24.676.680.409.030),(22.289.772.036.621),,223.0,,-24676680409030.0,-22289772036621.0
2.,2.,2.,Tài sản cố định vô hình,227,12,282.697.160.390,347.811.744.452,,227.0,12.0,282697160390.0,347811744452.0
,,,- Nguyên giá,228,,810.748.040.722,794.978.812.522,,228.0,,810748040722.0,794978812522.0
,,,- Giá trị hao mòn lũy kế,229,,(528.050.880.332),(447.167.068.070),,229.0,,-528050880332.0,-447167068070.0
III.,III.,III.,Tài sản dở dang dài hạn,240,,1.098.223.081.111,1.022.876.740.788,,240.0,,1098223081111.0,1022876740788.0
1.,1.,1.,Chi phí xây dựng cơ bản dở dang,242,14,1.098.223.081.111,1.022.876.740.788,,242.0,14.0,1098223081111.0,1022876740788.0
IV.,IV.,IV.,Đầu tư tài chính dài hạn,250,5,155.869.107.468,229.803.304.387,,250.0,5.0,155869107468.0,229803304387.0
1.,1.,1.,Đầu tư vào công ty con,251,,351.664.874.292,351.664.874.292,,251.0,,351664874292.0,351664874292.0
2.,2.,2.,Đầu tư góp vốn vào đơn vị khác,253,,11.244.000.000,11.244.000.000,,253.0,,11244000000.0,11244000000.0
3.,3.,3.,Dự phòng đầu tư tài chính dài hạn,254,,(207.039.766.824),(133.105.569.905),,254.0,,-207039766824.0,-133105569905.0
V.,V.,V.,Tài sản dài hạn khác,260,,1.869.165.051.284,264.749.198.339,,260.0,,1869165051284.0,264749198339.0
1.,1.,1.,Chi phí trả trước dài hạn,261,10,1.869.165.051.284,264.749.198.339,,261.0,10.0,1869165051284.0,264749198339.0
,,,TỔNG CỘNG TÀI SẢN (270=100+200),270,,54.509.262.241.492,52.218.212.446.096,,270.0,,54509262241492.0,52218212446096.0
