row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12năm 2022Triệu đồng,Ngày 31 tháng 12năm 2021Triệu đồng,numeric__Thuyết minh,numeric__Ngày 31 tháng 12năm 2022Triệu đồng,numeric__Ngày 31 tháng 12năm 2021Triệu đồng
Nghĩa vụ nợ tiềm ăn và các cam kết đưa ra,Nghĩa vụ nợ tiềm ăn và các cam kết đưa ra,Nghĩa vụ nợ tiềm ăn và các cam kết đưa ra,32,34.267.028,57.310.697,32.0,34267028.0,57310697.0
- Cam kết giao dịch hối đoái,- Cam kết giao dịch hối đoái,- Cam kết giao dịch hối đoái,,28.234.905,49.959.474,,28234905.0,49959474.0
Cam kết mua ngoại tệ,Cam kết mua ngoại tệ,Cam kết mua ngoại tệ,,252.910,606.771,,252910.0,606771.0
Cam kết bán ngoại tệ,Cam kết bán ngoại tệ,Cam kết bán ngoại tệ,,315.673,112.459,,315673.0,112459.0
Cam kết giao dịch hoán đổi,Cam kết giao dịch hoán đổi,Cam kết giao dịch hoán đổi,,27.666.322,49.240.244,,27666322.0,49240244.0
- Cam kết trong nghiệp vụ thư tín dụng,- Cam kết trong nghiệp vụ thư tín dụng,- Cam kết trong nghiệp vụ thư tín dụng,,1.975.802,3.587.696,,1975802.0,3587696.0
- Bảo lãnh khác,- Bảo lãnh khác,- Bảo lãnh khác,,3.884.758,3.597.539,,3884758.0,3597539.0
- Các cam kết khác,- Các cam kết khác,- Các cam kết khác,,171.563,165.988,,171563.0,165988.0
Lãi cho vay và phí phải thu chưa thu được,Lãi cho vay và phí phải thu chưa thu được,Lãi cho vay và phí phải thu chưa thu được,33,26.073.275,16.225.692,33.0,26073275.0,16225692.0
Nợ khó đòi đã xử lý,Nợ khó đòi đã xử lý,Nợ khó đòi đã xử lý,34,12.804.171,12.853.285,34.0,12804171.0,12853285.0
Tài sản và chứng từ khác,Tài sản và chứng từ khác,Tài sản và chứng từ khác,35,344.993,398.233,35.0,344993.0,398233.0
