row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2022Đồng,Ngày 31 tháng 12năm 2021Đồng,numeric__Ngày 31 tháng 12năm 2022Đồng,numeric__Ngày 31 tháng 12năm 2021Đồng
USD,USD,USD,23.540,22.775,23540.0,22775.0
EUR,EUR,EUR,25.118,25.759,25118.0,25759.0
GBP,GBP,GBP,28.402,30.770,28402.0,30770.0
CAD,CAD,CAD,17.399,17.887,17399.0,17887.0
SGD,SGD,SGD,17.555,16.865,17555.0,16865.0
AUD,AUD,AUD,15.813,16.532,15813.0,16532.0
JPY,JPY,JPY,179,198,179.0,198.0
CHF,CHF,CHF,25.477,24.919,25477.0,24919.0
HKD,HKD,HKD,3.020,2.921,3020.0,2921.0
NZD,NZD,NZD,14.933,15.573,14933.0,15573.0
THB,THB,THB,685,688,685.0,688.0
Vàng SJC (chỉ),Vàng SJC (chỉ),Vàng SJC (chỉ),6.650.000,6.130.000,6650000.0,6130000.0
