row_label_raw,row_label_full,col_0,Thuyết minh,Năm nay Triệu đồng,Năm trước Triệu đồng,numeric__Thuyết minh,numeric__Năm nay Triệu đồng,numeric__Năm trước Triệu đồng
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,21,12.170.179,10.084.491,21.0,12170179.0,10084491.0
Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,22,(6.587.308),(6.568.077),22.0,-6587308.0,-6568077.0
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,,5.582.871,3.516.414,,5582871.0,3516414.0
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,,1.113.135,945.805,,1113135.0,945805.0
Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,,(605.172),(519.748),,-605172.0,-519748.0
Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,23,507.963,426.057,23.0,507963.0,426057.0
Lãi thuần từ hoạt động kinh doanh ngoại hối,Lãi thuần từ hoạt động kinh doanh ngoại hối,Lãi thuần từ hoạt động kinh doanh ngoại hối,24,606.104,394.214,24.0,606104.0,394214.0
Lãi thuần từ mua bán chứng khoán đầu tư,Lãi thuần từ mua bán chứng khoán đầu tư,Lãi thuần từ mua bán chứng khoán đầu tư,25,87.550,91.599,25.0,87550.0,91599.0
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,,528.672,268.260,,528672.0,268260.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,,(73.098),(25.452),,-73098.0,-25452.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,26,455.574,242.808,26.0,455574.0,242808.0
"Thu nhập từ góp vốn, mua cổ phần","Thu nhập từ góp vốn, mua cổ phần","Thu nhập từ góp vốn, mua cổ phần",27,5.643,67.950,27.0,5643.0,67950.0
TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,,7.245.705,4.739.042,,7245705.0,4739042.0
Chi phí cho nhân viên,Chi phí cho nhân viên,Chi phí cho nhân viên,,(2.150.282),(1.540.847),,-2150282.0,-1540847.0
Chi phí khấu hao,Chi phí khấu hao,Chi phí khấu hao,,(139.781),(144.374),,-139781.0,-144374.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,,(1.144.361),(803.648),,-1144361.0,-803648.0
TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,28,(3.434.424),(2.488.869),28.0,-3434424.0,-2488869.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,3.811.281,2.250.173,,3811281.0,2250173.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,10,(103.590),(990.124),10.0,-103590.0,-990124.0
TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,,3.707.691,1.260.049,,3707691.0,1260049.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,(774.317),(203.010),,-774317.0,-203010.0
Thu nhập/(Chi phí) thuế thu nhập doanh nghiệp hoãn lại,Thu nhập/(Chi phí) thuế thu nhập doanh nghiệp hoãn lại,Thu nhập/(Chi phí) thuế thu nhập doanh nghiệp hoãn lại,19.2,11.003,(35.956),192.0,11003.0,-35956.0
Tổng chi phí thuế thu nhập doanh nghiệp,Tổng chi phí thuế thu nhập doanh nghiệp,Tổng chi phí thuế thu nhập doanh nghiệp,19.1,(763.314),(238.966),191.0,-763314.0,-238966.0
LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,,2.944.377,1.021.083,,2944377.0,1021083.0
