row_label_raw,row_label_full,col_0,Miền BắcTriệu đồng,Miền TrungTriệu đồng,Miền NamTriệu đồng,Tổng bộ phânđã báo cáoTriệu đồng,Loại trừTriệu đồng,Tổng cộngTriệu đồng,numeric__Miền BắcTriệu đồng,numeric__Miền TrungTriệu đồng,numeric__Miền NamTriệu đồng,numeric__Tổng bộ phânđã báo cáoTriệu đồng,numeric__Loại trừTriệu đồng,numeric__Tổng cộngTriệu đồng
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,3.011.974(2.396.544),2.284.699(1.691.044),23.321.031(18.947.245),28.617.704(23.034.833),(16.447.525)16.447.525,12.170.179(6.587.308),,,,,,
Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,3.011.974(2.396.544),2.284.699(1.691.044),23.321.031(18.947.245),28.617.704(23.034.833),(16.447.525)16.447.525,12.170.179(6.587.308),,,,,,
Thu nhập lãi thuần,Chi phí lãi và các chi phí tương tự > Thu nhập lãi thuần,Thu nhập lãi thuần,615.430,593.655,4.373.786,5.582.871,-,5.582.871,615430.0,593655.0,4373786.0,5582871.0,,5582871.0
Các khoản thu nhập ngoài lãi,Chi phí lãi và các chi phí tương tự > Các khoản thu nhập ngoài lãi,Các khoản thu nhập ngoài lãi,151.389,47.022,1.464.423,1.662.834,-,1.662.834,151389.0,47022.0,1464423.0,1662834.0,,1662834.0
TỔNG THU NHẬP HOẠT ĐỘNG,Chi phí lãi và các chi phí tương tự > TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,766.819,640.677,5.838.209,7.245.705,-,7.245.705,766819.0,640677.0,5838209.0,7245705.0,,7245705.0
TỔNG CHI PHÍ HOẠT ĐỘNG,Chi phí lãi và các chi phí tương tự > TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,(347.091),(244.362),(2.842.971),(3.434.424),-,(3.434.424),-347091.0,-244362.0,-2842971.0,-3434424.0,,-3434424.0
Lợi nhuận thuần từ hoạt động kinh doanhtrước chi phí dự phòng rủi ro tin dụng,Chi phí lãi và các chi phí tương tự > Lợi nhuận thuần từ hoạt động kinh doanhtrước chi phí dự phòng rủi ro tin dụng,Lợi nhuận thuần từ hoạt động kinh doanhtrước chi phí dự phòng rủi ro tin dụng,419.728,396.315,2.995.238,3.811.281,-,3.811.281,419728.0,396315.0,2995238.0,3811281.0,,3811281.0
Hoàn nhập/(Chi phí) dự phòng rủi ro tin dụng,Chi phí lãi và các chi phí tương tự > Hoàn nhập/(Chi phí) dự phòng rủi ro tin dụng,Hoàn nhập/(Chi phí) dự phòng rủi ro tin dụng,185.785,(30.341),(259.034),(103.590),-,(103.590),185785.0,-30341.0,-259034.0,-103590.0,,-103590.0
TỔNG LỢI NHUẬN TRƯỚC THUẾ,Chi phí lãi và các chi phí tương tự > TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,605.513,365.974,2.736.204,3.707.691,-,3.707.691,605513.0,365974.0,2736204.0,3707691.0,,3707691.0
TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,,,,,,,,,
