row_label_raw,row_label_full,col_0,Báo cáo tinh hình tài chính,Báo cáo tinh hình tài chính_1,Ảnh hưởng đối với báo cáo kết quả hoạt động,Ảnh hưởng đối với báo cáo kết quả hoạt động_1,numeric__Báo cáo tinh hình tài chính,numeric__Báo cáo tinh hình tài chính_1,numeric__Ảnh hưởng đối với báo cáo kết quả hoạt động,numeric__Ảnh hưởng đối với báo cáo kết quả hoạt động_1
,,,Số cuối nămTriệu đồng,Số đầu nămTriệu đồng,Năm nayTriệu đồng,Năm trướcTriệu đồng,,,,
Tài sản thuế TNDN hoãn lạiChênh lệch trong phương pháp trích lập dự phòng chứng khoán đầu tư và các khoản phải thu khác,Tài sản thuế TNDN hoãn lạiChênh lệch trong phương pháp trích lập dự phòng chứng khoán đầu tư và các khoản phải thu khác,Tài sản thuế TNDN hoãn lạiChênh lệch trong phương pháp trích lập dự phòng chứng khoán đầu tư và các khoản phải thu khác,20.548,9.545,,,20548.0,9545.0,,
Thu nhập/(chi phí) thuế thu nhập hoãn lại thuần tính vào báo cáo kết quả hoạt động,Thu nhập/(chi phí) thuế thu nhập hoãn lại thuần tính vào báo cáo kết quả hoạt động,Thu nhập/(chi phí) thuế thu nhập hoãn lại thuần tính vào báo cáo kết quả hoạt động,,,11.003,(35.956),,,11003.0,-35956.0
