row_label_raw,row_label_full,col_0,Quyền sử dụng đất không thời hạn Triệu đồng,Phần mềm máy vi tính Triệu đồng,Tổng cộng Triệu đồng,numeric__Quyền sử dụng đất không thời hạn Triệu đồng,numeric__Phần mềm máy vi tính Triệu đồng,numeric__Tổng cộng Triệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Ngày 31 tháng 12 năm 2021,Nguyên giá > Ngày 31 tháng 12 năm 2021,Ngày 31 tháng 12 năm 2021,2.304.967,514.474,2.819.441,2304967.0,514474.0,2819441.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,25.939,3.980,29.919,25939.0,3980.0,29919.0
Ngày 31 tháng 12 năm 2022,Nguyên giá > Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,2.330.906,518.454,2.849.360,2330906.0,518454.0,2849360.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Ngày 31 tháng 12 năm 2021,Giá trị hao mòn lũy kế > Ngày 31 tháng 12 năm 2021,Ngày 31 tháng 12 năm 2021,-,263.817,263.817,,263817.0,263817.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,-,41.369,41.369,,41369.0,41369.0
Ngày 31 tháng 12 năm 2022,Giá trị hao mòn lũy kế > Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,-,305.186,305.186,,305186.0,305186.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Ngày 31 tháng 12 năm 2021,Giá trị còn lại > Ngày 31 tháng 12 năm 2021,Ngày 31 tháng 12 năm 2021,2.304.967,250.657,2.555.624,2304967.0,250657.0,2555624.0
Ngày 31 tháng 12 năm 2022,Giá trị còn lại > Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,2.330.906,213.268,2.544.174,2330906.0,213268.0,2544174.0
