row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12năm 2022Triệu đồng,Ngày 31 tháng 12năm 2021Triệu đồng,numeric__Thuyết minh,numeric__Ngày 31 tháng 12năm 2022Triệu đồng,numeric__Ngày 31 tháng 12năm 2021Triệu đồng
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,
Các khoản nợ Chính phủ và Ngân hàngNhà nước Việt Nam,NỘ PHẢI TRẢ > Các khoản nợ Chính phủ và Ngân hàngNhà nước Việt Nam,Các khoản nợ Chính phủ và Ngân hàngNhà nước Việt Nam,15,24.261,29.184,15.0,24261.0,29184.0
"Tiền gửi và vay Chính phủ, NHNN","NỘ PHẢI TRẢ > Tiền gửi và vay Chính phủ, NHNN","Tiền gửi và vay Chính phủ, NHNN",,24.261,29.184,,24261.0,29184.0
Tiền gửi và vay các TCTD khác,NỘ PHẢI TRẢ > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,,11.893.026,7.615.859,,11893026.0,7615859.0
Tiền gửi của các TCTD khác,NỘ PHẢI TRẢ > Tiền gửi của các TCTD khác,Tiền gửi của các TCTD khác,16.1,9.421.326,7.615.859,161.0,9421326.0,7615859.0
Vay các TCTD khác,NỘ PHẢI TRẢ > Vay các TCTD khác,Vay các TCTD khác,16.2,2.471.700,-,162.0,2471700.0,
Tiền gửi của khách hàng,NỘ PHẢI TRẢ > Tiền gửi của khách hàng,Tiền gửi của khách hàng,17,148.814.016,137.541.655,17.0,148814016.0,137541655.0
Các khoản nợ khác,NỘ PHẢI TRẢ > Các khoản nợ khác,Các khoản nợ khác,,4.132.714,3.140.256,,4132714.0,3140256.0
"Các khoản lãi, phí phải trả","NỘ PHẢI TRẢ > Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả",18.1,2.490.182,2.301.486,181.0,2490182.0,2301486.0
Các khoản phải trả và công nợ khác,NỘ PHẢI TRẢ > Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,18.2,1.642.532,838.770,182.0,1642532.0,838770.0
TỔNG NỘ PHẢI TRẢ,NỘ PHẢI TRẢ > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,,164.864.017,148.326.954,,164864017.0,148326954.0
VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,,,
Vốn,Vốn,Vốn,,,,,,
Vốn điều lệ,Vốn > Vốn điều lệ,Vốn điều lệ,,12.355.229,12.355.229,,12355229.0,12355229.0
Vốn đầu tư xây dựng cơ bảnvà mua sắm tài sản cố định,Vốn > Vốn đầu tư xây dựng cơ bảnvà mua sắm tài sản cố định,Vốn đầu tư xây dựng cơ bảnvà mua sắm tài sản cố định,,15.396,15.396,,15396.0,15396.0
Thăng dư vốn cổ phần,Vốn > Thăng dư vốn cổ phần,Thăng dư vốn cổ phần,,156.322,156.322,,156322.0,156322.0
Cổ phiếu quỹ,Vốn > Cổ phiếu quỹ,Cổ phiếu quỹ,,(78.273),(78.273),,-78273.0,-78273.0
Các quỹ dự trữ,Vốn > Các quỹ dự trữ,Các quỹ dự trữ,,2.556.846,2.115.200,,2556846.0,2115200.0
Lợi nhuận chưa phân phối,Vốn > Lợi nhuận chưa phân phối,Lợi nhuận chưa phân phối,,5.439.529,3.186.808,,5439529.0,3186808.0
TỔNG VỐN CHỦ SỞ HỮU,Vốn > TỔNG VỐN CHỦ SỞ HỮU,TỔNG VỐN CHỦ SỞ HỮU,20.1,20.445.049,17.750.682,201.0,20445049.0,17750682.0
TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,Vốn > TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,185.309.066,166.077.636,,185309066.0,166077636.0
