row_label_raw,row_label_full,col_0,Ngày 31 tháng12 năm 2022Triệu đồng,Ngày 31 tháng12 năm 2021Triệu đồng,numeric__Ngày 31 tháng12 năm 2022Triệu đồng,numeric__Ngày 31 tháng12 năm 2021Triệu đồng
Tiền gửi của tổ chức kinh tế,Tiền gửi của tổ chức kinh tế,Tiền gửi của tổ chức kinh tế,47.925.253,46.257.460,47925253.0,46257460.0
Công ty TNHH khác,Công ty TNHH khác,Công ty TNHH khác,17.867.470,18.153.327,17867470.0,18153327.0
Công ty cổ phần khác,Công ty cổ phần khác,Công ty cổ phần khác,17.628.742,16.890.007,17628742.0,16890007.0
Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,4.341.469,5.583.332,4341469.0,5583332.0
Công ty cổ phần có vốn cổ phần của Nhà nướcchiếm trên 50% vốn điều lệ hoặc tổng số cổ phần cóquyền biểu quyết; hoặc Nhà nước giữ quyền chíphối đối với công ty trong Điều lệ của công ty,Công ty cổ phần có vốn cổ phần của Nhà nướcchiếm trên 50% vốn điều lệ hoặc tổng số cổ phần cóquyền biểu quyết; hoặc Nhà nước giữ quyền chíphối đối với công ty trong Điều lệ của công ty,Công ty cổ phần có vốn cổ phần của Nhà nướcchiếm trên 50% vốn điều lệ hoặc tổng số cổ phần cóquyền biểu quyết; hoặc Nhà nước giữ quyền chíphối đối với công ty trong Điều lệ của công ty,2.755.304,1.811.627,2755304.0,1811627.0
Công ty nhà nước,Công ty nhà nước,Công ty nhà nước,2.715.588,1.686.384,2715588.0,1686384.0
Công ty TNHH một thành viên do Nhà nước sở hữu100% vốn điều lệ,Công ty TNHH một thành viên do Nhà nước sở hữu100% vốn điều lệ,Công ty TNHH một thành viên do Nhà nước sở hữu100% vốn điều lệ,1.495.948,1.097.891,1495948.0,1097891.0
"Đơn vị hành chính sự nghiệp, Đằng, đoàn thể vàhiệp hội","Đơn vị hành chính sự nghiệp, Đằng, đoàn thể vàhiệp hội","Đơn vị hành chính sự nghiệp, Đằng, đoàn thể vàhiệp hội",233.728,216.209,233728.0,216209.0
Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,55.948,71.972,55948.0,71972.0
Hộ kinh doanh,Hộ kinh doanh,Hộ kinh doanh,40.940,32.794,40940.0,32794.0
Công ty trách nhiệm hữu hạn 2 thành viên trở lên cóphần vốn góp của Nhà nước trên 50% vốn điều lệhoặc Nhà nước giữ quyền chỉ phối,Công ty trách nhiệm hữu hạn 2 thành viên trở lên cóphần vốn góp của Nhà nước trên 50% vốn điều lệhoặc Nhà nước giữ quyền chỉ phối,Công ty trách nhiệm hữu hạn 2 thành viên trở lên cóphần vốn góp của Nhà nước trên 50% vốn điều lệhoặc Nhà nước giữ quyền chỉ phối,40.214,34.873,40214.0,34873.0
Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,22.352,9.225,22352.0,9225.0
Công ty hợp danh,Công ty hợp danh,Công ty hợp danh,1.390,2.240,1390.0,2240.0
Khác,Khác,Khác,726.160,667.579,726160.0,667579.0
Tiền gửi của cá nhân,Tiền gửi của cá nhân,Tiền gửi của cá nhân,100.888.763,91.284.195,100888763.0,91284195.0
,,,148.814.016,137.541.655,148814016.0,137541655.0
