row_label_raw,row_label_full,14.2 Mua sắm tài sản cố định,31/12/2025,31/12/2024,numeric__31/12/2025,numeric__31/12/2024
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Bổ sung tưởng lừa cho vùng DC-DR,Trong đó: > Bổ sung tưởng lừa cho vùng DC-DR,Bổ sung tưởng lừa cho vùng DC-DR,-,1.755,,1755.0
Nâng cấp phần mềm Oracle và Module Trade Finance,Trong đó: > Nâng cấp phần mềm Oracle và Module Trade Finance,Nâng cấp phần mềm Oracle và Module Trade Finance,129,127,129.0,127.0
Phần mềm phòng chống rửa tiền,Trong đó: > Phần mềm phòng chống rửa tiền,Phần mềm phòng chống rửa tiền,5.197,5.014,5197.0,5014.0
Hệ thống SOC,Trong đó: > Hệ thống SOC,Hệ thống SOC,-,5.781,,5781.0
Khác,Trong đó: > Khác,Khác,1.773,3.825,1773.0,3825.0
Cộng,Trong đó: > Cộng,Cộng,7.099,16.502,7099.0,16502.0
