row_label_raw,row_label_full,14.1 Chi phí xây dựng cơ bản dỡ dang,31/12/2025,31/12/2024,numeric__31/12/2025,numeric__31/12/2024
Trong đó:,Trong đó:,Trong đó:,,,,
- Những công trình lớn,Trong đó: > - Những công trình lớn,- Những công trình lớn,1.876,1.631,1876.0,1631.0
Đất 50 Nguyễn Tất Thành Đaklak,Trong đó: > Đất 50 Nguyễn Tất Thành Đaklak,Đất 50 Nguyễn Tất Thành Đaklak,860,860,860.0,860.0
Khác,Trong đó: > Khác,Khác,1.016,771,1016.0,771.0
Cộng,Trong đó: > Cộng,Cộng,1.876,1.631,1876.0,1631.0
