row_label_raw,row_label_full,Tại ngày cuối năm,Tổng giá trị của hợp đồng(theo tỷ giá ngày hiệu lực hợp đồng) > Tại ngày cuối năm,Tổng giá trị ghi số kế toán(theo tỷ giá tại ngày lập báo cáo) > Tài sản > Tại ngày cuối năm,Tổng giá trị ghi số kế toán(theo tỷ giá tại ngày lập báo cáo) > Công nợ > Tại ngày cuối năm,numeric__Tổng giá trị của hợp đồng(theo tỷ giá ngày hiệu lực hợp đồng) > Tại ngày cuối năm,numeric__Tổng giá trị ghi số kế toán(theo tỷ giá tại ngày lập báo cáo) > Tài sản > Tại ngày cuối năm,numeric__Tổng giá trị ghi số kế toán(theo tỷ giá tại ngày lập báo cáo) > Công nợ > Tại ngày cuối năm
Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,,-,-,,,
- Giao dịch hoán đổi tiền tệ,- Giao dịch hoán đổi tiền tệ,- Giao dịch hoán đổi tiền tệ,,-,-,,,
Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,,,
Công cụ tài chính phải sinh tiền tệ,Tại ngày đầu năm > Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,126.879,679,-,126879.0,679.0,
- Giao dịch hoán đổi tiền tệ,Tại ngày đầu năm > - Giao dịch hoán đổi tiền tệ,- Giao dịch hoán đổi tiền tệ,126.879,679,-,126879.0,679.0,
6. Cho vay khách hàng,6. Cho vay khách hàng,6. Cho vay khách hàng,6. Cho vay khách hàng,6. Cho vay khách hàng,6. Cho vay khách hàng,,,
,,,,31/12/2025,31/12/2024,,,
"Cho vay các tổ chức kinh tế, cá nhân trong nước","6. Cho vay khách hàng > Cho vay các tổ chức kinh tế, cá nhân trong nước","Cho vay các tổ chức kinh tế, cá nhân trong nước",,21.539.226,21.287.479,,21539226.0,21287479.0
Cho vay chiết khấu công cụ chuyển nhượng và các giấy tờ có giá,6. Cho vay khách hàng > Cho vay chiết khấu công cụ chuyển nhượng và các giấy tờ có giá,Cho vay chiết khấu công cụ chuyển nhượng và các giấy tờ có giá,,362.450,478.182,,362450.0,478182.0
Cấp tín dụng khác,6. Cho vay khách hàng > Cấp tín dụng khác,Cấp tín dụng khác,,71.086,68.883,,71086.0,68883.0
Tổng cộng,6. Cho vay khách hàng > Tổng cộng,Tổng cộng,,21.972.762,21.834.544,,21972762.0,21834544.0
6.1. Phân tích chất lượng nợ cho vay,6.1. Phân tích chất lượng nợ cho vay,6.1. Phân tích chất lượng nợ cho vay,6.1. Phân tích chất lượng nợ cho vay,6.1. Phân tích chất lượng nợ cho vay,6.1. Phân tích chất lượng nợ cho vay,,,
,,,,31/12/2025,31/12/2024,,,
Nợ đủ tiêu chuẩn,6.1. Phân tích chất lượng nợ cho vay > Nợ đủ tiêu chuẩn,Nợ đủ tiêu chuẩn,,19.450.664,20.156.419,,19450664.0,20156419.0
Nợ cần chú ý,6.1. Phân tích chất lượng nợ cho vay > Nợ cần chú ý,Nợ cần chú ý,,1.872.668,1.096.984,,1872668.0,1096984.0
Nợ dưới tiêu chuẩn,6.1. Phân tích chất lượng nợ cho vay > Nợ dưới tiêu chuẩn,Nợ dưới tiêu chuẩn,,54.756,84.378,,54756.0,84378.0
Nợ nghi ngờ,6.1. Phân tích chất lượng nợ cho vay > Nợ nghi ngờ,Nợ nghi ngờ,,108.713,96.019,,108713.0,96019.0
Nợ có khả năng mất vốn,6.1. Phân tích chất lượng nợ cho vay > Nợ có khả năng mất vốn,Nợ có khả năng mất vốn,,485.961,400.744,,485961.0,400744.0
Tổng cộng,6.1. Phân tích chất lượng nợ cho vay > Tổng cộng,Tổng cộng,,21.972.762,21.834.544,,21972762.0,21834544.0
