row_label_raw,row_label_full,Chỉ tiêu,31/12/2025,31/12/2024,numeric__31/12/2025,numeric__31/12/2024
Cam kết giao dịch ngoại hối,Cam kết giao dịch ngoại hối,Cam kết giao dịch ngoại hối,-,126.200,,126200.0
Cam kết giao dịch hoán đổi,Cam kết giao dịch hoán đổi,Cam kết giao dịch hoán đổi,-,126.200,,126200.0
Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,55.505,45.168,55505.0,45168.0
Cam kết thanh toán trong nghiệp vụ L/C,Cam kết thanh toán trong nghiệp vụ L/C,Cam kết thanh toán trong nghiệp vụ L/C,55.505,45.168,55505.0,45168.0
Các cam kết khác,Các cam kết khác,Các cam kết khác,438.767,327.664,438767.0,327664.0
Bảo lãnh thanh toán,Bảo lãnh thanh toán,Bảo lãnh thanh toán,220.779,122.213,220779.0,122213.0
Bảo lãnh thực hiện hợp đồng,Bảo lãnh thực hiện hợp đồng,Bảo lãnh thực hiện hợp đồng,105.198,65.890,105198.0,65890.0
Bảo lãnh dự thầu,Bảo lãnh dự thầu,Bảo lãnh dự thầu,20.878,14.222,20878.0,14222.0
Cam kết bảo lãnh khác,Cam kết bảo lãnh khác,Cam kết bảo lãnh khác,91.912,125.339,91912.0,125339.0
Tổng,Tổng,Tổng,494.272,499.032,494272.0,499032.0
