row_label_raw,row_label_full,14.4 Tài sản Có khác,31/12/2025,31/12/2024,numeric__31/12/2025,numeric__31/12/2024
- Chi phí chờ phân bổ,- Chi phí chờ phân bổ,- Chi phí chờ phân bổ,14.357,9.543,14357.0,9543.0
- Tài sản gán nợ đã chuyển quyền sở hữu cho Ngân hàng đang chờ xử lý,- Tài sản gán nợ đã chuyển quyền sở hữu cho Ngân hàng đang chờ xử lý,- Tài sản gán nợ đã chuyển quyền sở hữu cho Ngân hàng đang chờ xử lý,450.570,450.570,450570.0,450570.0
+ Bắt động sản,+ Bắt động sản,+ Bắt động sản,450.570,450.570,450570.0,450570.0
- Tài sản khác,- Tài sản khác,- Tài sản khác,1.051,1.457,1051.0,1457.0
Cộng,Cộng,Cộng,465.978,461.570,465978.0,461570.0
14.5 Dự phòng rủi ro các tài sản có nội bằng khác,14.5 Dự phòng rủi ro các tài sản có nội bằng khác,14.5 Dự phòng rủi ro các tài sản có nội bằng khác,14.5 Dự phòng rủi ro các tài sản có nội bằng khác,14.5 Dự phòng rủi ro các tài sản có nội bằng khác,,
- Dự phòng phải thu khó đòi,14.5 Dự phòng rủi ro các tài sản có nội bằng khác > - Dự phòng phải thu khó đòi,- Dự phòng phải thu khó đòi,(14.489),(14.489),-14489.0,-14489.0
"Tham ô, thiếu mất tiên, tài sản thiếu chờ xử lý","14.5 Dự phòng rủi ro các tài sản có nội bằng khác > Tham ô, thiếu mất tiên, tài sản thiếu chờ xử lý","Tham ô, thiếu mất tiên, tài sản thiếu chờ xử lý",(14.489),(14.489),-14489.0,-14489.0
Cộng,14.5 Dự phòng rủi ro các tài sản có nội bằng khác > Cộng,Cộng,(14.489),(14.489),-14489.0,-14489.0
15. Các khoản nợ Chính phủ và Ngân hàng Nhà nước: Không phát sinh.,15. Các khoản nợ Chính phủ và Ngân hàng Nhà nước: Không phát sinh.,15. Các khoản nợ Chính phủ và Ngân hàng Nhà nước: Không phát sinh.,15. Các khoản nợ Chính phủ và Ngân hàng Nhà nước: Không phát sinh.,15. Các khoản nợ Chính phủ và Ngân hàng Nhà nước: Không phát sinh.,,
16. Tiền gửi và vay các TCTD khác,16. Tiền gửi và vay các TCTD khác,16. Tiền gửi và vay các TCTD khác,16. Tiền gửi và vay các TCTD khác,16. Tiền gửi và vay các TCTD khác,,
,,,31/12/2025,31/12/2024,,
16.1. Tiền gửi của các TCTD khác,16.1. Tiền gửi của các TCTD khác,16.1. Tiền gửi của các TCTD khác,16.1. Tiền gửi của các TCTD khác,16.1. Tiền gửi của các TCTD khác,,
a. Tiền gửi không kỳ hạn,16.1. Tiền gửi của các TCTD khác > a. Tiền gửi không kỳ hạn,a. Tiền gửi không kỳ hạn,23.727,49.463,23727.0,49463.0
- Bằng VND,16.1. Tiền gửi của các TCTD khác > - Bằng VND,- Bằng VND,23.718,49.454,23718.0,49454.0
- Bằng ngoại tệ,16.1. Tiền gửi của các TCTD khác > - Bằng ngoại tệ,- Bằng ngoại tệ,9,9,9.0,9.0
b. Tiền gửi có kỳ hạn,16.1. Tiền gửi của các TCTD khác > b. Tiền gửi có kỳ hạn,b. Tiền gửi có kỳ hạn,4.157.335,4.177.525,4157335.0,4177525.0
- Bằng VND,16.1. Tiền gửi của các TCTD khác > - Bằng VND,- Bằng VND,2.980.000,3.294.125,2980000.0,3294125.0
- Bằng ngoại tệ,16.1. Tiền gửi của các TCTD khác > - Bằng ngoại tệ,- Bằng ngoại tệ,1.177.335,883.400,1177335.0,883400.0
Cộng,16.1. Tiền gửi của các TCTD khác > Cộng,Cộng,4.181.062,4.226.988,4181062.0,4226988.0
16.2. Vay các TCTD khác,16.2. Vay các TCTD khác,16.2. Vay các TCTD khác,16.2. Vay các TCTD khác,16.2. Vay các TCTD khác,,
- Bằng ngoại tệ,16.2. Vay các TCTD khác > - Bằng ngoại tệ,- Bằng ngoại tệ,843,1.009,843.0,1009.0
+ Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (*) -CN SGD 3,16.2. Vay các TCTD khác > + Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (*) -CN SGD 3,+ Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (*) -CN SGD 3,843,1.009,843.0,1009.0
Cộng,16.2. Vay các TCTD khác > Cộng,Cộng,843,1.009,843.0,1009.0
Tổng cộng tiền gửi và vay TCTD khác,16.2. Vay các TCTD khác > Tổng cộng tiền gửi và vay TCTD khác,Tổng cộng tiền gửi và vay TCTD khác,4.181.905,4.227.997,4181905.0,4227997.0
