row_label_raw,row_label_full,Bên liên quan > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2) > Công ty PSP,"Môi quan hệ > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2) > Công ty có chung thành viên chủ chốt tới ngày 4 tháng 11 năm 2019, công ty con gián tiếp từ ngày 5 tháng 11 năm 2019",Nội dung nghiệp vụ > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2) > Trả trước phí dịch vụ,Số cuối năm > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2) > 28.520.000,Đơn vị tính: VND Số đầu năm (Trình bày lại) > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2) > 28.520.000,"numeric__Môi quan hệ > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2) > Công ty có chung thành viên chủ chốt tới ngày 4 tháng 11 năm 2019, công ty con gián tiếp từ ngày 5 tháng 11 năm 2019",numeric__Nội dung nghiệp vụ > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2) > Trả trước phí dịch vụ,numeric__Số cuối năm > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2) > 28.520.000,numeric__Đơn vị tính: VND Số đầu năm (Trình bày lại) > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2) > 28.520.000
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,28.520.000,28.520.000,,,28520000.0,28520000.0
Phải thu ngắn hạn khác (Thuyết minh số 8),Phải thu ngắn hạn khác (Thuyết minh số 8),Phải thu ngắn hạn khác (Thuyết minh số 8),Phải thu ngắn hạn khác (Thuyết minh số 8),Phải thu ngắn hạn khác (Thuyết minh số 8),Phải thu ngắn hạn khác (Thuyết minh số 8),Phải thu ngắn hạn khác (Thuyết minh số 8),,,,
Công ty Hải Phát Thủ Đỏ,Phải thu ngắn hạn khác (Thuyết minh số 8) > Công ty Hải Phát Thủ Đỏ,Công ty Hải Phát Thủ Đỏ,Công ty liên quan của thành viên HĐQT,Phải thu theo biên bản thỏa thuận,16.355.465.698,16.355.465.698,,,16355465698.0,16355465698.0
Công ty HPH Nha Trang,Phải thu ngắn hạn khác (Thuyết minh số 8) > Công ty HPH Nha Trang,Công ty HPH Nha Trang,Công ty con,Phải thu tiền chi hộ,-,7.552.108.000,,,,7552108000.0
Công ty Bình Minh,Phải thu ngắn hạn khác (Thuyết minh số 8) > Công ty Bình Minh,Công ty Bình Minh,Công ty con đến ngày 27 tháng 12 năm 2019,Phải thu khác,-,100.000.000,,,,100000000.0
TỔNG CỘNG,Phải thu ngắn hạn khác (Thuyết minh số 8) > TỔNG CỘNG,TỔNG CỘNG,,,16.355.465.698,24.007.573.698,,,16355465698.0,24007573698.0
