row_label_raw,row_label_full,Đầu tư vào công ty con (Thuyết minh số 17.1),Số cuối năm > Giá gốc > 2.805.599.534.370,Số cuối năm > Dự phòng > -,Số cuối năm > Giá trị ghi số > 2.805.599.534.370,Số đầu năm > Giá gốc > 1.240.748.893.381,Số đầu năm > Dự phòng > -,Số đầu năm > Giá trị ghi số > 1.240.748.893.381,numeric__Số cuối năm > Giá gốc > 2.805.599.534.370,numeric__Số cuối năm > Dự phòng > -,numeric__Số cuối năm > Giá trị ghi số > 2.805.599.534.370,numeric__Số đầu năm > Giá gốc > 1.240.748.893.381,numeric__Số đầu năm > Dự phòng > -,numeric__Số đầu năm > Giá trị ghi số > 1.240.748.893.381
- Công ty Châu Sơn,- Công ty Châu Sơn,- Công ty Châu Sơn,1.000.000.000.000,-,1.000.000.000.000,709.298.893.381,-,709.298.893.381,1000000000000.0,,1000000000000.0,709298893381.0,,709298893381.0
- Công ty ĐT và KD BDS Hải Phát,- Công ty ĐT và KD BDS Hải Phát,- Công ty ĐT và KD BDS Hải Phát,680.000.000.000,-,680.000.000.000,-,-,-,680000000000.0,,680000000000.0,,,
- Công ty Hải Phát – Bình Thuận,- Công ty Hải Phát – Bình Thuận,- Công ty Hải Phát – Bình Thuận,600.000.000.000,-,600.000.000.000,-,-,-,600000000000.0,,600000000000.0,,,
- Công ty HPH Nha Trang,- Công ty HPH Nha Trang,- Công ty HPH Nha Trang,525.499.534.370,-,525.499.534.370,483.200.000.000,-,483.200.000.000,525499534370.0,,525499534370.0,483200000000.0,,483200000000.0
- Công ty IWG,- Công ty IWG,- Công ty IWG,100.000.000,-,100.000.000,-,-,-,100000000.0,,100000000.0,,,
- Công ty Bình Minh,- Công ty Bình Minh,- Công ty Bình Minh,-,-,-,48.250.000.000,-,48.250.000.000,,,,48250000000.0,,48250000000.0
- Công ty Hải Phát – Phú Yên,- Công ty Hải Phát – Phú Yên,- Công ty Hải Phát – Phú Yên,-,-,-,-,-,-,,,,,,
"Đầu tư góp vốn vào công ty liên doanh, liên kết (Thuyết minh số 17.2)","- Công ty Hải Phát – Phú Yên > Đầu tư góp vốn vào công ty liên doanh, liên kết (Thuyết minh số 17.2)","Đầu tư góp vốn vào công ty liên doanh, liên kết (Thuyết minh số 17.2)",402.071.498.930,-,402.071.498.930,431.683.176.348,-,431.683.176.348,402071498930.0,,402071498930.0,431683176348.0,,431683176348.0
"- Tổng Công ty Xây dựng Công trình Giao thông 5 (""Cienco 5"")","- Công ty Hải Phát – Phú Yên > - Tổng Công ty Xây dựng Công trình Giao thông 5 (""Cienco 5"")","- Tổng Công ty Xây dựng Công trình Giao thông 5 (""Cienco 5"")",300.245.220.000,-,300.245.220.000,300.245.220.000,-,300.245.220.000,300245220000.0,,300245220000.0,300245220000.0,,300245220000.0
"- Công ty Cổ phần Đầu tư Đại Đông Á (""Công ty Đại Đông Á"")","- Công ty Hải Phát – Phú Yên > - Công ty Cổ phần Đầu tư Đại Đông Á (""Công ty Đại Đông Á"")","- Công ty Cổ phần Đầu tư Đại Đông Á (""Công ty Đại Đông Á"")",55.750.000.000,-,55.750.000.000,55.750.000.000,-,55.750.000.000,55750000000.0,,55750000000.0,55750000000.0,,55750000000.0
- Công ty TNHH BT Hà Đông,- Công ty Hải Phát – Phú Yên > - Công ty TNHH BT Hà Đông,- Công ty TNHH BT Hà Đông,46.076.278.930,-,46.076.278.930,27.387.956.348,-,27.387.956.348,46076278930.0,,46076278930.0,27387956348.0,,27387956348.0
- Công ty S.E.A Thuận Phước,- Công ty Hải Phát – Phú Yên > - Công ty S.E.A Thuận Phước,- Công ty S.E.A Thuận Phước,-,-,-,48.300.000.000,-,48.300.000.000,,,,48300000000.0,,48300000000.0
Đầu tư góp vốn vào đơn vị khác (Thuyết minh số 17.3),- Công ty Hải Phát – Phú Yên > Đầu tư góp vốn vào đơn vị khác (Thuyết minh số 17.3),Đầu tư góp vốn vào đơn vị khác (Thuyết minh số 17.3),115.080.000.000,-,115.080.000.000,126.548.461.308,-,126.548.461.308,115080000000.0,,115080000000.0,126548461308.0,,126548461308.0
"- Công ty Cổ phần Đầu tư Hải Phát Thủ Đố (""Công ty Hải Phát Thủ Đỗ"")","- Công ty Hải Phát – Phú Yên > - Công ty Cổ phần Đầu tư Hải Phát Thủ Đố (""Công ty Hải Phát Thủ Đỗ"")","- Công ty Cổ phần Đầu tư Hải Phát Thủ Đố (""Công ty Hải Phát Thủ Đỗ"")",110.080.000.000,-,110.080.000.000,110.080.000.000,-,110.080.000.000,110080000000.0,,110080000000.0,110080000000.0,,110080000000.0
- Công ty Cổ phần Đầu tư Phát triển Hạ tầng và Đỗ thị Đường sắt,- Công ty Hải Phát – Phú Yên > - Công ty Cổ phần Đầu tư Phát triển Hạ tầng và Đỗ thị Đường sắt,- Công ty Cổ phần Đầu tư Phát triển Hạ tầng và Đỗ thị Đường sắt,5.000.000.000,-,5.000.000.000,5.000.000.000,-,5.000.000.000,5000000000.0,,5000000000.0,5000000000.0,,5000000000.0
- Công ty TNHH Phát triển Địa ốc Hải Phong,- Công ty Hải Phát – Phú Yên > - Công ty TNHH Phát triển Địa ốc Hải Phong,- Công ty TNHH Phát triển Địa ốc Hải Phong,-,-,-,11.468.461.308,-,11.468.461.308,,,,11468461308.0,,11468461308.0
TỔNG CỘNG,- Công ty Hải Phát – Phú Yên > TỔNG CỘNG,TỔNG CỘNG,3.322.751.033.300,-,3.322.751.033.300,1.798.980.531.037,-,1.798.980.531.037,3322751033300.0,,3322751033300.0,1798980531037.0,,1798980531037.0
