row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị ghi số,Đơn vị tính: VND > Số đầu năm,Đơn vị tính: VND > Số đầu năm_1,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị ghi số,numeric__Đơn vị tính: VND > Số đầu năm,numeric__Đơn vị tính: VND > Số đầu năm_1
Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,198.860.589.235,198.860.589.235,45.000.000.000,45.000.000.000,198860589235.0,198860589235.0,45000000000.0,45000000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,198.860.589.235,198.860.589.235,45.000.000.000,45.000.000.000,198860589235.0,198860589235.0,45000000000.0,45000000000.0
