row_label_raw,row_label_full,Cổ tức bằng cổ phiếu đã công bố và đã trả trong năm,Năm nay > Cổ tức bằng cổ phiếu đã công bố và đã trả trong năm,Đơn vị tính: VND > Năm trước > Cổ tức bằng cổ phiếu đã công bố và đã trả trong năm,numeric__Năm nay > Cổ tức bằng cổ phiếu đã công bố và đã trả trong năm,numeric__Đơn vị tính: VND > Năm trước > Cổ tức bằng cổ phiếu đã công bố và đã trả trong năm
Cổ tức trên cổ phiếu phổ thông,Cổ tức trên cổ phiếu phổ thông,Cổ tức trên cổ phiếu phổ thông,Cổ tức trên cổ phiếu phổ thông,Cổ tức trên cổ phiếu phổ thông,,
Cổ tức cho năm 2018: 10.000VND/cổ phiếu (2017: 10.000VND/cổ phiếu),Cổ tức trên cổ phiếu phổ thông > Cổ tức cho năm 2018: 10.000VND/cổ phiếu (2017: 10.000VND/cổ phiếu),Cổ tức cho năm 2018: 10.000VND/cổ phiếu (2017: 10.000VND/cổ phiếu),-,499.963.050.000,,499963050000.0
Cổ tức trên cổ phiếu ưu đãi,Cổ tức trên cổ phiếu ưu đãi,Cổ tức trên cổ phiếu ưu đãi,-,-,,
