row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm (Trình bày lại),numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm (Trình bày lại)
Phải thu từ hoạt động chuyển nhượng bất động sản,Phải thu từ hoạt động chuyển nhượng bất động sản,Phải thu từ hoạt động chuyển nhượng bất động sản,258.070.568.480,372.348.117.893,258070568480.0,372348117893.0
Phải thu từ chuyển nhượng cổ phần,Phải thu từ chuyển nhượng cổ phần,Phải thu từ chuyển nhượng cổ phần,130.000.000.000,30.000.000.000,130000000000.0,30000000000.0
Phải thu từ hoạt động cho thuê bất động sản và các hoạt động liên quan,Phải thu từ hoạt động cho thuê bất động sản và các hoạt động liên quan,Phải thu từ hoạt động cho thuê bất động sản và các hoạt động liên quan,3.714.915.346,5.982.684.199,3714915346.0,5982684199.0
Phải thu từ các hoạt động khác,Phải thu từ các hoạt động khác,Phải thu từ các hoạt động khác,1.501.245.932,8.791.194.372,1501245932.0,8791194372.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,393.286.729.758,417.121.996.464,393286729758.0,417121996464.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu ngắn hạn của khách hàng,Trong đó: > Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,373.196.653.879,416.289.438.924,373196653879.0,416289438924.0
Phải thu ngắn hạn từ các bên liên quan (Thuyết minh số 32),Trong đó: > Phải thu ngắn hạn từ các bên liên quan (Thuyết minh số 32),Phải thu ngắn hạn từ các bên liên quan (Thuyết minh số 32),20.090.075.879,832.557.540,20090075879.0,832557540.0
Chi tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu:Công ty Cổ phần Đầu tư An Thịnh (i)Công ty Cổ phần kinh doanh Bất động sản HPLand (trước đây là công ty Cổ phần Bất động sản Hải Phát),Trong đó: > Chi tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu:Công ty Cổ phần Đầu tư An Thịnh (i)Công ty Cổ phần kinh doanh Bất động sản HPLand (trước đây là công ty Cổ phần Bất động sản Hải Phát),Chi tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu:Công ty Cổ phần Đầu tư An Thịnh (i)Công ty Cổ phần kinh doanh Bất động sản HPLand (trước đây là công ty Cổ phần Bất động sản Hải Phát),100.000.000.000,-,100000000000.0,
Chi tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu:Công ty Cổ phần Đầu tư An Thịnh (i)Công ty Cổ phần kinh doanh Bất động sản HPLand (trước đây là công ty Cổ phần Bất động sản Hải Phát),Trong đó: > Chi tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu:Công ty Cổ phần Đầu tư An Thịnh (i)Công ty Cổ phần kinh doanh Bất động sản HPLand (trước đây là công ty Cổ phần Bất động sản Hải Phát),Chi tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu:Công ty Cổ phần Đầu tư An Thịnh (i)Công ty Cổ phần kinh doanh Bất động sản HPLand (trước đây là công ty Cổ phần Bất động sản Hải Phát),12.169.023.043,246.968.908.046,12169023043.0,246968908046.0
Dự phòng phải thu khó đòi (Thuyết minh số 9),Trong đó: > Dự phòng phải thu khó đòi (Thuyết minh số 9),Dự phòng phải thu khó đòi (Thuyết minh số 9),(30.000.000.000),-,-30000000000.0,
