row_label_raw,row_label_full,col_0,Vốn cổ phần đã góp,Thặng dư vốn cổ phần,Lợi nhuận sau thuế chưa phân phối (Trình bày lại),Đơn vị tính: VND,numeric__Vốn cổ phần đã góp,numeric__Thặng dư vốn cổ phần,numeric__Lợi nhuận sau thuế chưa phân phối (Trình bày lại),numeric__Đơn vị tính: VND
,,,Vốn cổ phần đã góp,Thặng dư vốn cổ phần,Lợi nhuận sau thuế chưa phân phối (Trình bày lại),Tổng cộng,,,,
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,1.500.000.000.000,335.950.000.000,231.257.211.428,2.067.207.211.428,1500000000000.0,335950000000.0,231257211428.0,2067207211428.0
- Tăng vốn từ thăng dư,Năm trước > - Tăng vốn từ thăng dư,- Tăng vốn từ thăng dư,274.963.200.000,(274.963.200.000),-,-,274963200000.0,-274963200000.0,,
- Tăng vốn từ chia cổ tức,Năm trước > - Tăng vốn từ chia cổ tức,- Tăng vốn từ chia cổ tức,224.999.850.000,-,(224.999.850.000),-,224999850000.0,,-224999850000.0,
- Lợi nhuận thuần trong năm,Năm trước > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,497.027.954.941,497.027.954.941,,,497027954941.0,497027954941.0
- Trích quỹ phúc lợi,Năm trước > - Trích quỹ phúc lợi,- Trích quỹ phúc lợi,-,-,(6.631.661.968),(6.631.661.968),,,-6631661968.0,-6631661968.0
- Thủ lao HDQT,Năm trước > - Thủ lao HDQT,- Thủ lao HDQT,-,-,(4.467.764.723),(4.467.764.723),,,-4467764723.0,-4467764723.0
Số cuối năm (Trình bày lại),Năm trước > Số cuối năm (Trình bày lại),Số cuối năm (Trình bày lại),1.999.963.050.000,60.986.800.000,492.185.889.678,2.553.135.739.678,1999963050000.0,60986800000.0,492185889678.0,2553135739678.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,
Số đầu năm (Trình bày lại),Năm nay > Số đầu năm (Trình bày lại),Số đầu năm (Trình bày lại),1.999.963.050.000,60.986.800.000,492.185.889.678,2.553.135.739.678,1999963050000.0,60986800000.0,492185889678.0,2553135739678.0
- Lợi nhuận thuần trong năm,Năm nay > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,306.331.722.077,306.331.722.077,,,306331722077.0,306331722077.0
- Trích quỹ phúc lợi (*),Năm nay > - Trích quỹ phúc lợi (*),- Trích quỹ phúc lợi (*),-,-,(11.941.116.131),(11.941.116.131),,,-11941116131.0,-11941116131.0
- Thủ lao HDQT (*),Năm nay > - Thủ lao HDQT (*),- Thủ lao HDQT (*),-,-,(7.868.905.000),(7.868.905.000),,,-7868905000.0,-7868905000.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,1.999.963.050.000,60.986.800.000,778.707.590.624,2.839.657.440.624,1999963050000.0,60986800000.0,778707590624.0,2839657440624.0
