row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm (Trình bày lại),numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm (Trình bày lại)
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,
Phải thu theo các hợp đồng hợp tác và biển bản thỏa thuận (i),Ngắn hạn: > Phải thu theo các hợp đồng hợp tác và biển bản thỏa thuận (i),Phải thu theo các hợp đồng hợp tác và biển bản thỏa thuận (i),360.000.000.000,626.000.000.000,360000000000.0,626000000000.0
Tạm ứng,Ngắn hạn: > Tạm ứng,Tạm ứng,301.482.439,24.454.327.385,301482439.0,24454327385.0
Phải thu ngắn hạn khác,Ngắn hạn: > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,16.870.907.692,34.312.175.039,16870907692.0,34312175039.0
TỔNG CỘNG,Ngắn hạn: > TỔNG CỘNG,TỔNG CỘNG,377.172.390.131,684.766.502.424,377172390131.0,684766502424.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu khác ngắn hạn của các đối tác doanh nghiệp,Trong đó: > Phải thu khác ngắn hạn của các đối tác doanh nghiệp,Phải thu khác ngắn hạn của các đối tác doanh nghiệp,360.816.924.433,660.758.928.726,360816924433.0,660758928726.0
Phải thu khác ngắn hạn từ các bên liên quan (Thuyết minh số 32),Trong đó: > Phải thu khác ngắn hạn từ các bên liên quan (Thuyết minh số 32),Phải thu khác ngắn hạn từ các bên liên quan (Thuyết minh số 32),16.355.465.698,24.007.573.698,16355465698.0,24007573698.0
Dự phòng phải thu ngắn hạn khác khó đòi,Dự phòng phải thu ngắn hạn khác khó đòi,Dự phòng phải thu ngắn hạn khác khó đòi,-,-,,
Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,,
Phải thu theo các hợp đồng hợp tác đầu tư (ii),Dài hạn: > Phải thu theo các hợp đồng hợp tác đầu tư (ii),Phải thu theo các hợp đồng hợp tác đầu tư (ii),60.362.336.276,60.362.336.276,60362336276.0,60362336276.0
Kỳ quỹ thực hiện dự án (iii),Dài hạn: > Kỳ quỹ thực hiện dự án (iii),Kỳ quỹ thực hiện dự án (iii),29.431.729.000,-,29431729000.0,
TỔNG CỘNG,Dài hạn: > TỔNG CỘNG,TỔNG CỘNG,89.794.085.276,60.362.336.276,89794085276.0,60362336276.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu khác dài hạn của các đối tác doanh nghiệp,Trong đó: > Phải thu khác dài hạn của các đối tác doanh nghiệp,Phải thu khác dài hạn của các đối tác doanh nghiệp,89.794.065.276,60.362.336.276,89794065276.0,60362336276.0
Phải thu khác dài hạn từ các bên liên quan,Phải thu khác dài hạn từ các bên liên quan,Phải thu khác dài hạn từ các bên liên quan,-,-,,
Dự phòng phải thu dài hạn khác khó đòi,Dự phòng phải thu dài hạn khác khó đòi,Dự phòng phải thu dài hạn khác khó đòi,-,-,,
