row_label_raw,row_label_full,Mã số,CHÍ TIÊU,Thuyết minh,Năm nay,Năm trước (Trình bày lại),numeric__CHÍ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước (Trình bày lại)
,,,I. LƯU CHUYÊN TIÊN TỪHỒA T ĐỘNG KINH DOANH,,,,,,,
01,01,01,Lợi nhuận trước thuếĐiều chỉnh cho các khoản:Khẩu hao tài sản cố định hữu hình và bất động sản đầu tư,"13, 14",450.256.698.490,643.637.697.967,,,450256698490.0,643637697967.0
02,02,02,Lợi nhuận trước thuếĐiều chỉnh cho các khoản:Khẩu hao tài sản cố định hữu hình và bất động sản đầu tư,"13, 14",8.006.916.758,7.333.986.093,,,8006916758.0,7333986093.0
03,03,03,Các khoản dự phòng/(hoản nhập dự phòng)Lãi từ hoạt động đầu tư,9,30.000.000.000(411.103.573.034),(39.000.000.000)(243.978.421.836),,9.0,,
05,05,05,Các khoản dự phòng/(hoản nhập dự phòng)Lãi từ hoạt động đầu tư,9,30.000.000.000(411.103.573.034),(39.000.000.000)(243.978.421.836),,9.0,,
06,06,06,Chi phí lãi vay,27,130.763.137.154,13.601.286.404,,27.0,130763137154.0,13601286404.0
08,08,08,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,,207.923.179.368,381.594.548.628,,,207923179368.0,381594548628.0
09,09,09,Giảm/(tăng) các khoản phải thu,,805.811.317.789,(387.926.384.722),,,805811317789.0,-387926384722.0
10,10,10,Giảm/(tăng) hàng tồn kho,,2.082.170.140.455,(388.801.923.996),,,2082170140455.0,-388801923996.0
11,11,11,"Giảm các khoản phải trả (không kể lãi vay phải trả,thuế thu nhập doanh nghiệp phải nộp)",,(635.522.626.450),(2.728.952.212),,,-635522626450.0,-2728952212.0
12,12,12,Giảm/(tăng) chi phí trả trước,,27.418.463.016,(15.730.825.041),,,27418463016.0,-15730825041.0
14,14,14,Tiền lãi vay đã trả,,(223.121.076.899),(11.798.180.202),,,-223121076899.0,-11798180202.0
15,15,15,Thuế thu nhập doanh nghiệp đã nộp,19,(110.441.228.731),(113.293.856.387),,19.0,-110441228731.0,-113293856387.0
17,17,17,Tiền chi khác từ hoạt động kinh doanh,23,(2.379.400.000),(647.350.000),,23.0,-2379400000.0,-647350000.0
20,20,20,Lưu chuyển tiền thuần từ/(sử dụng vào) hoạt động kinh doanh,,2.151.858.768.548,(539.332.923.932),,,2151858768548.0,-539332923932.0
,,,II. LƯU CHUYÊN TIÊN TỪHỒA T ĐỘNG ĐẦU TỪ,,,,,,,
21,21,21,"Tiền chỉ để mua sắm, xây dựng tài sản cố định (TSCĐ)và các tài sản dài hạn khác",,(87.523.130.704),(40.026.326.152),,,-87523130704.0,-40026326152.0
22,22,22,Tiền thu từ thanh lý TSCĐ,,-,2.432.454.546,,,,2432454546.0
23,23,23,"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",,(198.860.589.235),(45.000.000.000),,,-198860589235.0,-45000000000.0
24,24,24,"Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác",,45.000.000.000,-,,,45000000000.0,
25,25,25,Tiền chỉ để đầu tư góp vốnvào đơn vị khác,,(2.158.770.672.774),(190.864.852.507),,,-2158770672774.0,-190864852507.0
26,26,26,Tiền thu hồi đầu tư góp vốnvào đơn vị khác,,430.000.000.000,263.260.000.000,,,430000000000.0,263260000000.0
27,27,27,Tiền thu lãi cho vay,,6.872.034.342,10.152.182.259,,,6872034342.0,10152182259.0
30,30,30,Lưu chuyển tiền thuần sử dụng vào hoạt động đầu tư,,(1.963.282.358.371),(46.541.854),,,-1963282358371.0,-46541854.0
