row_label_raw,row_label_full,col_0,Số đầu năm (Trình bày lại) > Giá trị,Số đầu năm (Trình bày lại) > Số có khả năng trả nợ,Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,Đơn vị tính: VND > Số cuối năm > Giá trị,Đơn vị tính: VND > Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm (Trình bày lại) > Giá trị,numeric__Số đầu năm (Trình bày lại) > Số có khả năng trả nợ,numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Đơn vị tính: VND > Số cuối năm > Giá trị,numeric__Đơn vị tính: VND > Số cuối năm > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,
Vay ngân hàng(Thuyết minh số 22.1),Vay ngắn hạn > Vay ngân hàng(Thuyết minh số 22.1),Vay ngân hàng(Thuyết minh số 22.1),457.312.806.840,457.312.806.840,205.103.703.954,478.845.518.735,183.570.992.059,183.570.992.059,457312806840.0,457312806840.0,205103703954.0,478845518735.0,183570992059.0,183570992059.0
Vay dài hạn ngân hàng đến hạn trả(Thuyết minh số 22.1),Vay ngắn hạn > Vay dài hạn ngân hàng đến hạn trả(Thuyết minh số 22.1),Vay dài hạn ngân hàng đến hạn trả(Thuyết minh số 22.1),56.000.000.000,56.000.000.000,352.941.343.532,316.281.432.421,92.659.911.111,92.659.911.111,56000000000.0,56000000000.0,352941343532.0,316281432421.0,92659911111.0,92659911111.0
Trái phiếu(Thuyết minh số 22.2),Vay ngắn hạn > Trái phiếu(Thuyết minh số 22.2),Trái phiếu(Thuyết minh số 22.2),158.423.232.877,158.423.232.877,1.576.767.123,160.000.000.000,-,-,158423232877.0,158423232877.0,1576767123.0,160000000000.0,,
Trái phiếu dài hạn đến hạn trả(Thuyết minh số 22.2),Vay ngắn hạn > Trái phiếu dài hạn đến hạn trả(Thuyết minh số 22.2),Trái phiếu dài hạn đến hạn trả(Thuyết minh số 22.2),-,-,592.628.666.041,-,592.628.666.041,592.628.666.041,,,592628666041.0,,592628666041.0,592628666041.0
TỔNG CỘNG,Vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,671.736.039.717,671.736.039.717,1.152.250.480.650,955.126.951.156,868.859.569.211,868.859.569.211,671736039717.0,671736039717.0,1152250480650.0,955126951156.0,868859569211.0,868859569211.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,
Vay ngân hàng(Thuyết minh số 22.1),Vay dài hạn > Vay ngân hàng(Thuyết minh số 22.1),Vay ngân hàng(Thuyết minh số 22.1),347.481.432.421,347.481.432.421,50.939.200.000,352.941.343.532,45.479.288.889,45.479.288.889,347481432421.0,347481432421.0,50939200000.0,352941343532.0,45479288889.0,45479288889.0
Trái phiếu(Thuyết minh số 22.2),Vay dài hạn > Trái phiếu(Thuyết minh số 22.2),Trái phiếu(Thuyết minh số 22.2),1.220.088.964.234,1.220.088.964.234,469.259.227.411,592.628.666.041,1.096.719.525.604,1.096.719.525.604,1220088964234.0,1220088964234.0,469259227411.0,592628666041.0,1096719525604.0,1096719525604.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,1.567.570.396.655,1.567.570.396.655,520.198.427.411,945.570.009.573,1.142.198.814.493,1.142.198.814.493,1567570396655.0,1567570396655.0,520198427411.0,945570009573.0,1142198814493.0,1142198814493.0
