row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VNDNăm trước(Trình bày lại),numeric__Năm nay,numeric__Đơn vị tính: VNDNăm trước(Trình bày lại)
Chỉ phí bán hàng,Chỉ phí bán hàng,Chỉ phí bán hàng,Chỉ phí bán hàng,Chỉ phí bán hàng,,
- Chi phí môi giới,Chỉ phí bán hàng > - Chi phí môi giới,- Chi phí môi giới,86.016.440.714,-,86016440714.0,
"- Chi phí quảng cáo, khuyến mãi","Chỉ phí bán hàng > - Chi phí quảng cáo, khuyến mãi","- Chi phí quảng cáo, khuyến mãi",4.470.164.089,10.185.533.352,4470164089.0,10185533352.0
- Chi phí nhân viên,Chỉ phí bán hàng > - Chi phí nhân viên,- Chi phí nhân viên,3.573.245.550,4.434.096.363,3573245550.0,4434096363.0
- Chi phí bán hàng khác,Chỉ phí bán hàng > - Chi phí bán hàng khác,- Chi phí bán hàng khác,22.956.164,453.670.101,22956164.0,453670101.0
,,,94.082.806.517,15.073.299.816,94082806517.0,15073299816.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,
- Chi phí nhân viên,Chi phí quản lý doanh nghiệp > - Chi phí nhân viên,- Chi phí nhân viên,41.002.743.658,32.674.435.044,41002743658.0,32674435044.0
- Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp > - Chi phí dịch vụ mua ngoài,- Chi phí dịch vụ mua ngoài,24.752.961.576,44.820.670.944,24752961576.0,44820670944.0
- Trích lập/(hoản nhập) dự phòng,Chi phí quản lý doanh nghiệp > - Trích lập/(hoản nhập) dự phòng,- Trích lập/(hoản nhập) dự phòng,30.000.000.000,(39.000.000.000),30000000000.0,-39000000000.0
- Chi phí quản lý doanh nghiệp khác,Chi phí quản lý doanh nghiệp > - Chi phí quản lý doanh nghiệp khác,- Chi phí quản lý doanh nghiệp khác,12.497.223.257,12.982.749.288,12497223257.0,12982749288.0
,,,108.252.928.491,51.477.855.276,108252928491.0,51477855276.0
TỔNG CỘNG,Chi phí quản lý doanh nghiệp > TỔNG CỘNG,TỔNG CỘNG,202.335.735.008,66.551.155.092,202335735008.0,66551155092.0
