row_label_raw,row_label_full,Bên liên quan > Phải trả ngắn hạn khác (Thuyết minh số 21),Môi quan hệ > Phải trả ngắn hạn khác (Thuyết minh số 21),Nội dung nghiệp vụ > Phải trả ngắn hạn khác (Thuyết minh số 21),Số cuối năm > Phải trả ngắn hạn khác (Thuyết minh số 21),Đơn vị tính: VND Số đầu năm (Trình bày lại) > Phải trả ngắn hạn khác (Thuyết minh số 21),numeric__Môi quan hệ > Phải trả ngắn hạn khác (Thuyết minh số 21),numeric__Nội dung nghiệp vụ > Phải trả ngắn hạn khác (Thuyết minh số 21),numeric__Số cuối năm > Phải trả ngắn hạn khác (Thuyết minh số 21),numeric__Đơn vị tính: VND Số đầu năm (Trình bày lại) > Phải trả ngắn hạn khác (Thuyết minh số 21)
Công ty Hải Phát - Bình Thuận,Công ty Hải Phát - Bình Thuận,Công ty Hải Phát - Bình Thuận,Công ty con,Phải trả tiền quản lý tập trung,372.684.758.846,-,,,372684758846.0,
Công ty HPH Nha Trang,Công ty HPH Nha Trang,Công ty HPH Nha Trang,Công ty con,Phải trả tiền quản lý tập trung,72.661.147.168,76.050.000.000,,,72661147168.0,76050000000.0
Công ty Châu Sơn,Công ty Châu Sơn,Công ty Châu Sơn,Công ty con,Phải trả tiền quản lý tập trung,27.000.000.000,-,,,27000000000.0,
Công ty Đại Đông Á,Công ty Đại Đông Á,Công ty Đại Đông Á,Công ty liên kết,Phải trả tiền nhận đặt cọc,-,20.000.000.000,,,,20000000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,472.345.906.014,96.050.000.000,,,472345906014.0,96050000000.0
Phải trả dài hạn khác (Thuyết minh số 21),Phải trả dài hạn khác (Thuyết minh số 21),Phải trả dài hạn khác (Thuyết minh số 21),Phải trả dài hạn khác (Thuyết minh số 21),Phải trả dài hạn khác (Thuyết minh số 21),Phải trả dài hạn khác (Thuyết minh số 21),Phải trả dài hạn khác (Thuyết minh số 21),,,,
Công ty Hải Phát Thủ Đô,Phải trả dài hạn khác (Thuyết minh số 21) > Công ty Hải Phát Thủ Đô,Công ty Hải Phát Thủ Đô,Công ty liên quan của thành viên HĐQT,Phải trả tiền nhận đặt cọc,202.200.220.000,202.200.220.000,,,202200220000.0,202200220000.0
TỔNG CỘNG,Phải trả dài hạn khác (Thuyết minh số 21) > TỔNG CỘNG,TỔNG CỘNG,,,202.200.220.000,202.200.220.000,,,202200220000.0,202200220000.0
