row_label_raw,row_label_full,Dự án Tây Nam – An Khánh,Số cuối năm > 2.710.530.145,Đơn vị tính: VND > Số đều năm(Trình bày lại) > 2.412.676.055,numeric__Số cuối năm > 2.710.530.145,numeric__Đơn vị tính: VND > Số đều năm(Trình bày lại) > 2.412.676.055
Dự án Hải Phát Plaza cao tầng (*),Dự án Hải Phát Plaza cao tầng (*),Dự án Hải Phát Plaza cao tầng (*),-,130.418.489.152,,130418489152.0
Các dự án khác,Các dự án khác,Các dự án khác,3.988.464.125,2.326.401.871,3988464125.0,2326401871.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,6.898.994.270,135.157.567.078,6898994270.0,135157567078.0
