row_label_raw,row_label_full,Thuế giá trị gia tăng,Số đầu năm(Trình bày lại) > -,Số phải nộptrong năm > 96.018.081.629,Số đã nộptrong năm > 54.192.035.964,Đơn vị tính: VND > Số cuối năm > 41.826.045.665,numeric__Số đầu năm(Trình bày lại) > -,numeric__Số phải nộptrong năm > 96.018.081.629,numeric__Số đã nộptrong năm > 54.192.035.964,numeric__Đơn vị tính: VND > Số cuối năm > 41.826.045.665
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,100.477.848.308,126.084.575.664,110.441.228.731,116.121.195.241,100477848308.0,126084575664.0,110441228731.0,116121195241.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,519.590.245,9.821.217.436,9.671.596.254,669.211.427,519590245.0,9821217436.0,9671596254.0,669211427.0
Các khoản phải nộp Nhà nước khác,Các khoản phải nộp Nhà nước khác,Các khoản phải nộp Nhà nước khác,-,2.532.695.270,2.532.695.270,-,,2532695270.0,2532695270.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,100.997.438.553,234.456.569.999,176.837.556.219,158.616.452.333,100997438553.0,234456569999.0,176837556219.0,158616452333.0
