row_label_raw,row_label_full,Bên liên quan,Mối quan hộ,Nội dung nghiệp vụ,Đơn vị tính: VND > Năm nay,Đơn vị tính: VND > Năm trước,numeric__Mối quan hộ,numeric__Nội dung nghiệp vụ,numeric__Đơn vị tính: VND > Năm nay,numeric__Đơn vị tính: VND > Năm trước
Công ty Hải Phát- Bình Thuận,Công ty Hải Phát- Bình Thuận,Công ty Hải Phát- Bình Thuận,Công ty con,Chuyển tiền góp vốnNhận tiền theo thỏa thuận quản lý vớntập trungTrả tiền quản lý vớntập trungDoanh thu chuyển nhượng dự ánThu tiền chuyển nhượng dự án thông qua cán trừ với dòng tiền quản lý tập trung,600.000.000.000(593.500.000.000)7.100.000.000198.940.740.867213.715.241.154,------,,,,
Công ty ĐT vàKD BĐS Hải Phát,Công ty ĐT vàKD BĐS Hải Phát,Công ty ĐT vàKD BĐS Hải Phát,Công ty con,Chuyển tiền góp vốnPhải trả phí dịch vụ môi giớiPhí dịch vụ môi giới đã trả,680.000.000.000(33.897.818.439)28.991.487.880,------,,,,
Công ty Châu Sơn,Công ty Châu Sơn,Công ty Châu Sơn,Công ty con,Chuyển tiền góp vốnGóp vốn điều lệ thống qua bù trừ công nợDoanh thu bán bất động sảnNhận tiền theo thỏa thuận quản lý vớntập trungPhải trả phí thuê mặt bằngPhải trả theo biên bản thỏa thuận,290.701.106.619----248.798.423.356(27.000.000.000)(7.338.830.002)(5.377.920.087),156.000.000.000153.298.893.38144.924.000.000(1.256.293.044),,,,
Công ty Cổ phần Xây dựng HPThăng Long (tên cũ là Công ty Cổ phần Xây lắp Hải Phát),Công ty Cổ phần Xây dựng HPThăng Long (tên cũ là Công ty Cổ phần Xây lắp Hải Phát),Công ty Cổ phần Xây dựng HPThăng Long (tên cũ là Công ty Cổ phần Xây lắp Hải Phát),Công ty liên quan của thành viên gia đình của thành viên HĐQT đến ngày 1 tháng 11 năm 2019,Phải trả tiền xây lắpTiền xây lắp đã trảTiền xây lắp trả thống qua bù trừ công nợ,(115.391.984.989)53.304.901.36634.319.097.510,(259.790.088.756)78.231.638.00078.773.070.013,,,,
Công ty PSP,Công ty PSP,Công ty PSP,"Công ty có chung thành viên chủ chốt tới ngày 4 tháng 11 năm 2019, công ty con gián tiếp từ ngày 5 tháng 11 năm 2019",Phải trả phí dịch vụ quản lý tòa nhàPhi dịch vụ quản lý tòa nhà đã trảTrả phí dịch vụ quản lý tòa nhà thống qua bù trừ công nợ,(28.433.473.064)-31.836.011.105,(26.605.580.226)21.812.736.22314.064.307.472,,,,
