row_label_raw,row_label_full,Mã số,Khoản mục,Thuyết minh,Số trước điều chỉnh,Điều chỉnh,Đơn vị tính: VND Số sau điều chỉnh,numeric__Khoản mục,numeric__Thuyết minh,numeric__Số trước điều chỉnh,numeric__Điều chỉnh,numeric__Đơn vị tính: VND Số sau điều chỉnh
BẢNG CẦN ĐỐI KẾ TOÁN RIÊNG,BẢNG CẦN ĐỐI KẾ TOÁN RIÊNG,BẢNG CẦN ĐỐI KẾ TOÁN RIÊNG,BẢNG CẦN ĐỐI KẾ TOÁN RIÊNG,BẢNG CẦN ĐỐI KẾ TOÁN RIÊNG,BẢNG CẦN ĐỐI KẾ TOÁN RIÊNG,BẢNG CẦN ĐỐI KẾ TOÁN RIÊNG,BẢNG CẦN ĐỐI KẾ TOÁN RIÊNG,,,,,
131,BẢNG CẦN ĐỐI KẾ TOÁN RIÊNG > 131,131,Phải thu ngắn hạn của khách hàng,(i),433.477.462.162,(18.355.465.698),417.121.996.464,,,433477462162.0,-18355465698.0,417121996464.0
136,BẢNG CẦN ĐỐI KẾ TOÁN RIÊNG > 136,136,Phải thu ngắn hạn khác,"(i), (iii), (iv), (xiv)",669.836.275.020,14.930.227.404,684.766.502.424,,,669836275020.0,14930227404.0,684766502424.0
141,BẢNG CẦN ĐỐI KẾ TOÁN RIÊNG > 141,141,Hàng tồn kho,"(ii), (v), (vi)",1.037.282.115.891,2.212.301.040.874,3.249.583.156.765,,,1037282115891.0,2212301040874.0,3249583156765.0
151,BẢNG CẦN ĐỐI KẾ TOÁN RIÊNG > 151,151,Chỉ phí trả trước ngắn hạn,"(vii), (xiii)",-,54.241.371.678,54.241.371.678,,,,54241371678.0,54241371678.0
218,BẢNG CẦN ĐỐI KẾ TOÁN RIÊNG > 218,218,Phải thu dài hạn khác,"(ii), (iv), (viii)",321.000.000.000,(260.637.663.724),60.362.336.276,,,321000000000.0,-260637663724.0,60362336276.0
222,BẢNG CẦN ĐỐI KẾ TOÁN RIÊNG > 222,222,Nguyên giá – Tài sản cố định,(ix),215.996.774.291,(198.041.794.609),17.954.979.682,,,215996774291.0,-198041794609.0,17954979682.0
223,BẢNG CẦN ĐỐI KẾ TOÁN RIÊNG > 223,223,Giá trị khấu hao lũy kế,(ix),(14.045.041.654),5.374.921.418,(8.670.120.236),,,-14045041654.0,5374921418.0,-8670120236.0
231,BẢNG CẦN ĐỐI KẾ TOÁN RIÊNG > 231,231,Nguyên giá – Bất động sản đầu tư,(ix),-,198.041.794.609,198.041.794.609,,,,198041794609.0,198041794609.0
232,BẢNG CẦN ĐỐI KẾ TOÁN RIÊNG > 232,232,Giá trị khấu hao lũy kế,"(ix), (xv)",-,(7.133.168.774),(7.133.168.774),,,,-7133168774.0,-7133168774.0
242,BẢNG CẦN ĐỐI KẾ TOÁN RIÊNG > 242,242,Chi phí xây dựng cơ bản dở dang,"(ii), (v), (xiv)",2.259.009.398.986,(2.123.851.831.908),135.157.567.078,,,2259009398986.0,-2123851831908.0,135157567078.0
261,BẢNG CẦN ĐỐI KẾ TOÁN RIÊNG > 261,261,Chi phí trả trước dài hạn,(vii),58.283.145.356,(56.794.371.680),1.488.773.676,,,58283145356.0,-56794371680.0,1488773676.0
268,BẢNG CẦN ĐỐI KẾ TOÁN RIÊNG > 268,268,Tài sản dài hạn khác,"(iii), (viii)",-,330.000.000.000,330.000.000.000,,,,330000000000.0,330000000000.0
312,BẢNG CẦN ĐỐI KẾ TOÁN RIÊNG > 312,312,Người mua trả tiền trước ngắn hạn,(x),991.250.596.903,382.337.828.378,1.373.588.425.281,,,991250596903.0,382337828378.0,1373588425281.0
313,BẢNG CẦN ĐỐI KẾ TOÁN RIÊNG > 313,313,Thuế và các khoản phải nộp Nhà nước,"(xii), (xv)",97.362.127.447,3.635.311.106,100.997.438.553,,,97362127447.0,3635311106.0,100997438553.0
315,BẢNG CẦN ĐỐI KẾ TOÁN RIÊNG > 315,315,Chi phí phải trả ngắn hạn,(vi),85.068.527.314,156.386.306.948,241.454.834.262,,,85068527314.0,156386306948.0,241454834262.0
319,BẢNG CẦN ĐỐI KẾ TOÁN RIÊNG > 319,319,Phải trả ngắn hạn khác,"(ii), (xī)",375.128.214.449,110.976.279.190,486.104.493.639,,,375128214449.0,110976279190.0,486104493639.0
320,BẢNG CẦN ĐỐI KẾ TOÁN RIÊNG > 320,320,Vay ngắn hạn,(xii),617.312.806.840,54.423.232.677,671.736.039.717,,,617312806840.0,54423232677.0,671736039717.0
332,BẢNG CẦN ĐỐI KẾ TOÁN RIÊNG > 332,332,Người mua trả tiền trước dài hạn,(x),382.337.828.378,(382.337.828.378),-,,,382337828378.0,-382337828378.0,
337,BẢNG CẦN ĐỐI KẾ TOÁN RIÊNG > 337,337,Phải trả dài hạn khác,"(ii), (xi)",339.354.948.966,(110.976.279.190),228.378.669.776,,,339354948966.0,-110976279190.0,228378669776.0
338,BẢNG CẦN ĐỐI KẾ TOÁN RIÊNG > 338,338,Vay dài hạn,(xii),1.644.481.432.421,(76.911.035.766),1.567.570.396.655,,,1644481432421.0,-76911035766.0,1567570396655.0
421,BẢNG CẦN ĐỐI KẾ TOÁN RIÊNG > 421,421,Lợi nhuận sau thuế chưa phân phối,"(xii), (xv)",477.644.645.253,14.541.244.425,492.185.889.678,,,477644645253.0,14541244425.0,492185889678.0
