row_label_raw,row_label_full,Tên đơn vị,Tỷ lệ sở hữu đồng thời làtỷ lệ biểu quyết (%) > Số cuối năm,Tỷ lệ sở hữu đồng thời làtỷ lệ biểu quyết (%) > Số đầu năm,numeric__Tỷ lệ sở hữu đồng thời làtỷ lệ biểu quyết (%) > Số cuối năm,numeric__Tỷ lệ sở hữu đồng thời làtỷ lệ biểu quyết (%) > Số đầu năm
Công ty Châu Sơn (i),Công ty Châu Sơn (i),Công ty Châu Sơn (i),100,100,100.0,100.0
Công ty ĐT và KD BDS Hải Phát,Công ty ĐT và KD BDS Hải Phát,Công ty ĐT và KD BDS Hải Phát,"95,78",-,95.78,
Công ty Hải Phát – Bình Thuận,Công ty Hải Phát – Bình Thuận,Công ty Hải Phát – Bình Thuận,100,-,100.0,
Công ty HPH Nha Trang,Công ty HPH Nha Trang,Công ty HPH Nha Trang,78,75,78.0,75.0
Công ty IWG,Công ty IWG,Công ty IWG,"50,5",-,50.5,
Công ty Bình Minh (ii),Công ty Bình Minh (ii),Công ty Bình Minh (ii),-,"77,2",,77.2
Công ty Hải Phát – Phú Yên,Công ty Hải Phát – Phú Yên,Công ty Hải Phát – Phú Yên,100,-,100.0,
