row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Môi quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Đơn vị tính: VND Số đầu năm (Trình bày lại) > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Môi quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Đơn vị tính: VND Số đầu năm (Trình bày lại) > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1)
Công ty Châu Sơn,Công ty Châu Sơn,Công ty Châu Sơn,Công ty con,Phải thu từ chuyển nhượng bất động sản,15.073.137.151,-,,,15073137151.0,
Công ty TNHH Một thành viên Bea Leasing,Công ty TNHH Một thành viên Bea Leasing,Công ty TNHH Một thành viên Bea Leasing,Công ty có chung thành viên chủ chốt,Phải thu từ chuyển nhượng bất động sản,4.731.956.266,-,,,4731956266.0,
Công ty Đại Đông Á,Công ty Đại Đông Á,Công ty Đại Đông Á,Công ty liên kết,Phải thu từ cho thuê,284.982.462,331.665.201,,,284982462.0,331665201.0
Công ty Cổ phần Xây dựng HP Thăng Long (tên cũ là Công ty Cổ phần Xây lắp Hải Phát),Công ty Cổ phần Xây dựng HP Thăng Long (tên cũ là Công ty Cổ phần Xây lắp Hải Phát),Công ty Cổ phần Xây dựng HP Thăng Long (tên cũ là Công ty Cổ phần Xây lắp Hải Phát),Công ty liên quan của thành viên gia đình của thành viên HĐQT đến ngày 1 tháng 11 năm 2019,Phải thu tiền từ cung cấp dịch vụ,,500.892.339,,,,500892339.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,20.090.075.879,832.557.540,,,20090075879.0,832557540.0
