row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm (Trình bày lại),numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm (Trình bày lại)
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Phải trả về dòng tiền quản lý tập trung (i),Ngắn hạn > Phải trả về dòng tiền quản lý tập trung (i),Phải trả về dòng tiền quản lý tập trung (i),472.345.906.014,76.050.000.000,472345906014.0,76050000000.0
Quỹ bảo trì căn họ (ii),Ngắn hạn > Quỹ bảo trì căn họ (ii),Quỹ bảo trì căn họ (ii),86.041.266.928,95.074.567.060,86041266928.0,95074567060.0
"Tiền thu từ các hợp đồng đặt cọc, vay vốn và hợp đồng khác liên quan đến các dự án bất động sản","Ngắn hạn > Tiền thu từ các hợp đồng đặt cọc, vay vốn và hợp đồng khác liên quan đến các dự án bất động sản","Tiền thu từ các hợp đồng đặt cọc, vay vốn và hợp đồng khác liên quan đến các dự án bất động sản",9.895.443.166,117.081.344.075,9895443166.0,117081344075.0
Phải trả tiền nhận đặt cọc theo hợp đồng cung cấp dịch vụ môi giới bất động sản,Ngắn hạn > Phải trả tiền nhận đặt cọc theo hợp đồng cung cấp dịch vụ môi giới bất động sản,Phải trả tiền nhận đặt cọc theo hợp đồng cung cấp dịch vụ môi giới bất động sản,-,118.528.387.190,,118528387190.0
Thu hộ phải trả,Ngắn hạn > Thu hộ phải trả,Thu hộ phải trả,24.741.675.000,42.600.775.000,24741675000.0,42600775000.0
Các khoản phải trả ngắn hạn khác,Ngắn hạn > Các khoản phải trả ngắn hạn khác,Các khoản phải trả ngắn hạn khác,31.602.299.848,36.769.420.314,31602299848.0,36769420314.0
,,,624.626.590.956,486.104.493.639,624626590956.0,486104493639.0
Trong đó,Trong đó,Trong đó,Trong đó,Trong đó,,
Phải trả ngắn hạn khác,Trong đó > Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,152.280.684.942,390.054.493.639,152280684942.0,390054493639.0
Phải trả ngắn hạn cho các bên liên quan (Thuyết minh số 32),Trong đó > Phải trả ngắn hạn cho các bên liên quan (Thuyết minh số 32),Phải trả ngắn hạn cho các bên liên quan (Thuyết minh số 32),472.345.906.014,96.050.000.000,472345906014.0,96050000000.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Phải trả theo hợp đồng ủy thác đầu tư (iii),Dài hạn > Phải trả theo hợp đồng ủy thác đầu tư (iii),Phải trả theo hợp đồng ủy thác đầu tư (iii),202.200.220.000,202.200.220.000,202200220000.0,202200220000.0
Nhận tiền cọc từ hợp đồng cho thuê dài hạn (iv),Dài hạn > Nhận tiền cọc từ hợp đồng cho thuê dài hạn (iv),Nhận tiền cọc từ hợp đồng cho thuê dài hạn (iv),149.275.754.677,-,149275754677.0,
Phải trả theo các hợp đồng hợp tác kinh doanh,Dài hạn > Phải trả theo các hợp đồng hợp tác kinh doanh,Phải trả theo các hợp đồng hợp tác kinh doanh,40.358.600.000,26.178.449.776,40358600000.0,26178449776.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,391.834.574.677,228.378.669.776,391834574677.0,228378669776.0
Trong đó,Trong đó,Trong đó,Trong đó,Trong đó,,
Phải trả dài hạn khác,Trong đó > Phải trả dài hạn khác,Phải trả dài hạn khác,189.634.354.677,26.178.449.776,189634354677.0,26178449776.0
Phải trả dài hạn cho bên liên quan (Thuyết minh số 32),Trong đó > Phải trả dài hạn cho bên liên quan (Thuyết minh số 32),Phải trả dài hạn cho bên liên quan (Thuyết minh số 32),202.200.220.000,202.200.220.000,202200220000.0,202200220000.0
