row_label_raw,row_label_full,Bên liên quan > Phải trả người bán ngắn hạn (Thuyết minh số 18.1),Mối quan hệ > Phải trả người bán ngắn hạn (Thuyết minh số 18.1),Nội dung nghiệp vụ > Phải trả người bán ngắn hạn (Thuyết minh số 18.1),Số cuối năm > Phải trả người bán ngắn hạn (Thuyết minh số 18.1),Đơn vị tính: VND Số đầu năm (Trình bày lại) > Phải trả người bán ngắn hạn (Thuyết minh số 18.1),numeric__Mối quan hệ > Phải trả người bán ngắn hạn (Thuyết minh số 18.1),numeric__Nội dung nghiệp vụ > Phải trả người bán ngắn hạn (Thuyết minh số 18.1),numeric__Số cuối năm > Phải trả người bán ngắn hạn (Thuyết minh số 18.1),numeric__Đơn vị tính: VND Số đầu năm (Trình bày lại) > Phải trả người bán ngắn hạn (Thuyết minh số 18.1)
Công ty Châu Sơn,Công ty Châu Sơn,Công ty Châu Sơn,Công ty con,Phí thuê mặt bằng phải trả,7.204.271.253,1.256.293.044,,,7204271253.0,1256293044.0
Công ty Châu Sơn,Công ty Châu Sơn,Công ty Châu Sơn,Công ty con,Phải trả theo biên bản thỏa thuận,5.377.920.087,-,,,5377920087.0,
Công ty ĐT và KD BĐS Hải Phát,Công ty ĐT và KD BĐS Hải Phát,Công ty ĐT và KD BĐS Hải Phát,Công ty con,Phí môi giới phải trả,4.906.330.559,-,,,4906330559.0,
Công ty PSP,Công ty PSP,Công ty PSP,"Công ty có chung thành viên chủ chốt tới ngày 4 tháng 11 năm 2019, công ty con giản tiếp từ ngày 5 tháng 11 năm 2019",Phải trả phí dịch vụ quản lý tòa nhà,360.241.046,3.762.779.087,,,360241046.0,3762779087.0
Công ty Cổ phần Xây dựng HP Thăng Long (tên cũ là Công ty Cổ phần Xây lập Hải Phát),Công ty Cổ phần Xây dựng HP Thăng Long (tên cũ là Công ty Cổ phần Xây lập Hải Phát),Công ty Cổ phần Xây dựng HP Thăng Long (tên cũ là Công ty Cổ phần Xây lập Hải Phát),Công ty liên quan của thành viên gia đình của thành viên HĐQT đến ngày 1 tháng 11 năm 2019,Tiền vật liệu xây dựng phải trả,-,21.261.363.414,,,,21261363414.0
Công ty TNHH An Quý Hưng,Công ty TNHH An Quý Hưng,Công ty TNHH An Quý Hưng,Công ty thuộc sở hữu của thành viên HĐQT,Tiền vật liệu xây dựng phải trả,8.626.002.544,9.728.989.435,,,8626002544.0,9728989435.0
Công ty Cổ phần Môi trường và phát triển Đô Thị Hà Nội,Công ty Cổ phần Môi trường và phát triển Đô Thị Hà Nội,Công ty Cổ phần Môi trường và phát triển Đô Thị Hà Nội,Công ty có chung thành viên chủ chốt,Phải trả phí dịch vụ,9.900.000,9.900.000,,,9900000.0,9900000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,26.484.665.489,36.019.324.980,,,26484665489.0,36019324980.0
Chi phí phải trả ngắn hạn (Thuyết minh số 20),Chi phí phải trả ngắn hạn (Thuyết minh số 20),Chi phí phải trả ngắn hạn (Thuyết minh số 20),Chi phí phải trả ngắn hạn (Thuyết minh số 20),Chi phí phải trả ngắn hạn (Thuyết minh số 20),Chi phí phải trả ngắn hạn (Thuyết minh số 20),Chi phí phải trả ngắn hạn (Thuyết minh số 20),,,,
Công ty Hải Phát Thủ Đô,Chi phí phải trả ngắn hạn (Thuyết minh số 20) > Công ty Hải Phát Thủ Đô,Công ty Hải Phát Thủ Đô,Công ty liên quan của thành viên HĐQT,Phải trả tiền lãi vay,-,118.136.986,,,,118136986.0
Công ty HPH Nha Trang,Chi phí phải trả ngắn hạn (Thuyết minh số 20) > Công ty HPH Nha Trang,Công ty HPH Nha Trang,Công ty con,Phải trả tiền lãi vay,-,71.747.945,,,,71747945.0
TỔNG CỘNG,Chi phí phải trả ngắn hạn (Thuyết minh số 20) > TỔNG CỘNG,TỔNG CỘNG,,,-,189.884.931,,,,189884931.0
