row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Đơn vị tính: VND > Số đầu năm(Trình bày lại),Đơn vị tính: VND > Số đầu năm(Trình bày lại)_1,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Đơn vị tính: VND > Số đầu năm(Trình bày lại),numeric__Đơn vị tính: VND > Số đầu năm(Trình bày lại)_1
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
Bắt động sản để bánđã hoàn thành,Bắt động sản để bánđã hoàn thành,Bắt động sản để bánđã hoàn thành,1.155.666.513.800,-,203.580.778.207,-,1155666513800.0,,203580778207.0,
Bắt động sản để bánđàng xây dựng,Bắt động sản để bánđàng xây dựng,Bắt động sản để bánđàng xây dựng,115.283.689.417,-,3.045.771.998.704,-,115283689417.0,,3045771998704.0,
Hàng tồn kho khác,Hàng tồn kho khác,Hàng tồn kho khác,1.000.094.854,-,230.379.854,-,1000094854.0,,230379854.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.271.950.298.071,-,3.249.583.156.765,-,1271950298071.0,,3249583156765.0,
