row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Phương tiện vận tải,Thiết bị văn phòng,VND Tổng cộng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,2.664.949.325,623.393.195.622,14.830.084.974,11.240.124.282,652.128.354.203,2664949325.0,623393195622.0,14830084974.0,11240124282.0,652128354203.0
Mua mới,Nguyên giá > Mua mới,Mua mới,-,216.284.997.620,3.953.626.343,889.728.696,221.128.352.659,,216284997620.0,3953626343.0,889728696.0,221128352659.0
Chuyển từ xây dựng cơ bản đồ dang,Nguyên giá > Chuyển từ xây dựng cơ bản đồ dang,Chuyển từ xây dựng cơ bản đồ dang,-,150.483.003.145,5.926.862.701,-,156.409.865.846,,150483003145.0,5926862701.0,,156409865846.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(645.000.000),(35.493.228.964),(1.367.880.432),(156.437.765),(37.662.547.161),-645000000.0,-35493228964.0,-1367880432.0,-156437765.0,-37662547161.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,2.019.949.325,954.667.967.423,23.342.693.586,11.973.415.213,992.004.025.547,2019949325.0,954667967423.0,23342693586.0,11973415213.0,992004025547.0
Trong đó:Đã khấu hao hết,Nguyên giá > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,355.162.273,13.195.018.890,2.829.163.143,1.195.209.972,17.574.554.278,355162273.0,13195018890.0,2829163143.0,1195209972.0,17574554278.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,
Số đầu năm,Giá trị khấu hao lũy kế > Số đầu năm,Số đầu năm,(1.845.475.982),(280.146.893.882),(9.374.378.840),(4.147.556.811),(295.514.305.515),-1845475982.0,-280146893882.0,-9374378840.0,-4147556811.0,-295514305515.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(133.804.147),(90.035.707.558),(2.227.224.852),(1.822.379.166),(94.219.115.723),-133804147.0,-90035707558.0,-2227224852.0,-1822379166.0,-94219115723.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",645.000.000,25.475.376.423,1.055.959.976,104.290.760,27.280.627.159,645000000.0,25475376423.0,1055959976.0,104290760.0,27280627159.0
Số cuối năm,Giá trị khấu hao lũy kế > Số cuối năm,Số cuối năm,(1.334.280.129),(344.707.225.017),(10.545.643.716),(5.865.645.217),(362.452.794.079),-1334280129.0,-344707225017.0,-10545643716.0,-5865645217.0,-362452794079.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,819.473.343,343.246.301.740,5.455.706.134,7.092.567.471,356.614.048.688,819473343.0,343246301740.0,5455706134.0,7092567471.0,356614048688.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,685.669.196,609.960.742.406,12.797.049.870,6.107.769.996,629.551.231.468,685669196.0,609960742406.0,12797049870.0,6107769996.0,629551231468.0
Trong đó:Tài sản sử dụng để thế chấp(Thuyết minh số 21),Giá trị còn lại > Trong đó:Tài sản sử dụng để thế chấp(Thuyết minh số 21),Trong đó:Tài sản sử dụng để thế chấp(Thuyết minh số 21),184.257.601,150.476.925.452,880.404.209,-,151.541.587.262,184257601.0,150476925452.0,880404209.0,,151541587262.0
