row_label_raw,row_label_full,col_0,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất_1,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất_1,numeric__Bảng cân đối kế toán hợp nhất,numeric__Bảng cân đối kế toán hợp nhất_1,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,,,,
Dự phòng trợ cấp thời việc,Tài sản thuế thu nhập hoãn lại > Dự phòng trợ cấp thời việc,Dự phòng trợ cấp thời việc,3.752.251.105,3.271.260.916,480.990.189,447.177.224,3752251105.0,3271260916.0,480990189.0,447177224.0
Lợi nhuận chưa thực hiện,Tài sản thuế thu nhập hoãn lại > Lợi nhuận chưa thực hiện,Lợi nhuận chưa thực hiện,8.983.852.563,3.472.737.311,5.511.115.252,1.339.326.885,8983852563.0,3472737311.0,5511115252.0,1339326885.0
Dự phòng giảm giá hàng tồn kho,Tài sản thuế thu nhập hoãn lại > Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,47.155.490,47.155.490,-,2.608.149,47155490.0,47155490.0,,2608149.0
Chi phí phải trả,Tài sản thuế thu nhập hoãn lại > Chi phí phải trả,Chi phí phải trả,20.940.762,20.940.762,-,13.942.522,20940762.0,20940762.0,,13942522.0
"Chi phí công cụ, dụng cụ","Tài sản thuế thu nhập hoãn lại > Chi phí công cụ, dụng cụ","Chi phí công cụ, dụng cụ",(61.246.159),(38.272.277),(22.973.882),7.622.473,-61246159.0,-38272277.0,-22973882.0,7622473.0
Dự phòng nợ phải thu khó đòi,Tài sản thuế thu nhập hoãn lại > Dự phòng nợ phải thu khó đòi,Dự phòng nợ phải thu khó đòi,-,307.119.321,(307.119.321),164.893.613,,307119321.0,-307119321.0,164893613.0
Doanh thu chưa thực hiện,Tài sản thuế thu nhập hoãn lại > Doanh thu chưa thực hiện,Doanh thu chưa thực hiện,-,-,-,(252.567.316),,,,-252567316.0
Lỗ năm trước chuyển sang của công ty con,Tài sản thuế thu nhập hoãn lại > Lỗ năm trước chuyển sang của công ty con,Lỗ năm trước chuyển sang của công ty con,10.614.114.491,-,10.614.114.491,-,10614114491.0,,10614114491.0,
,,,23.357.068.252,7.080.941.523,16.276.126.729,1.723.003.550,23357068252.0,7080941523.0,16276126729.0,1723003550.0
