row_label_raw,row_label_full,col_0,Quyềnsử dụng đất,Phần mềmmáy tính,Khác,VNDTổng cộng,numeric__Quyềnsử dụng đất,numeric__Phần mềmmáy tính,numeric__Khác,numeric__VNDTổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,4.950.924.600,7.827.568.043,1.216.005.358,13.994.498.001,4950924600.0,7827568043.0,1216005358.0,13994498001.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(301.741.600),-,(301.741.600),,-301741600.0,,-301741600.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,4.950.924.600,7.525.826.443,1.216.005.358,13.692.756.401,4950924600.0,7525826443.0,1216005358.0,13692756401.0
Trong đó:Dã hao mòn hết,Nguyên giá > Trong đó:Dã hao mòn hết,Trong đó:Dã hao mòn hết,-,703.656.206,-,703.656.206,,703656206.0,,703656206.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số đầu năm,Giá trị hao mòn lũy kế > Số đầu năm,Số đầu năm,-,(3.177.582.494),(486.109.242),(3.663.691.736),,-3177582494.0,-486109242.0,-3663691736.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,-,(1.194.750.155),(183.336.504),(1.378.086.659),,-1194750155.0,-183336504.0,-1378086659.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,66.668.169,-,66.668.169,,66668169.0,,66668169.0
Số cuối năm,Giá trị hao mòn lũy kế > Số cuối năm,Số cuối năm,-,(4.305.664.480),(669.445.746),(4.975.110.226),,-4305664480.0,-669445746.0,-4975110226.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,4.950.924.600,4.649.985.549,729.896.116,10.330.806.265,4950924600.0,4649985549.0,729896116.0,10330806265.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,4.950.924.600,3.220.161.963,546.559.612,8.717.646.175,4950924600.0,3220161963.0,546559612.0,8717646175.0
Trong đó:Tài sản sử dụng đểthe chấp(Thuyết minh số 21.1),Giá trị còn lại > Trong đó:Tài sản sử dụng đểthe chấp(Thuyết minh số 21.1),Trong đó:Tài sản sử dụng đểthe chấp(Thuyết minh số 21.1),4.500.924.600,-,-,4.500.924.600,4500924600.0,,,4500924600.0
