row_label_raw,row_label_full,Các khoản tương đương tiền,330.125.000.000,(327.725.000.000),2.400.000.000,numeric__330.125.000.000,numeric__(327.725.000.000),numeric__2.400.000.000
Các khoản đầu tư ngắn hạn,Các khoản đầu tư ngắn hạn,Các khoản đầu tư ngắn hạn,696.463.825.750,(696.463.825.750),-,696463825750.0,-696463825750.0,
Dự phòng các khoản đầu tư ngắn hạn,Dự phòng các khoản đầu tư ngắn hạn,Dự phòng các khoản đầu tư ngắn hạn,(300.000.000),300.000.000,-,-300000000.0,300000000.0,
Đầu tư nấm giữ đến ngày đáo hạn,Đầu tư nấm giữ đến ngày đáo hạn,Đầu tư nấm giữ đến ngày đáo hạn,-,982.321.939.208,982.321.939.208,,982321939208.0,982321939208.0
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,779.628.678.644,(988.843.740),778.639.834.904,779628678644.0,-988843740.0,778639834904.0
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,745.936.494.538,(86.103.451.873),659.833.042.665,745936494538.0,-86103451873.0,659833042665.0
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,-,41.866.886.542,41.866.886.542,,41866886542.0,41866886542.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,53.780.245.946,14.595.777.694,68.376.023.640,53780245946.0,14595777694.0,68376023640.0
Dự phòng nợ phải thu khó đòi,Dự phòng nợ phải thu khó đòi,Dự phòng nợ phải thu khó đòi,(216.201.351.152),(300.000.000),(216.501.351.152),-216201351152.0,-300000000.0,-216501351152.0
Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,22.741.627.296,36.250.000,22.777.877.296,22741627296.0,36250000.0,22777877296.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,14.595.777.694,(14.595.777.694),-,14595777694.0,-14595777694.0,
Phải thu dài hạn của khách hàng,Phải thu dài hạn của khách hàng,Phải thu dài hạn của khách hàng,-,988.843.740,988.843.740,,988843740.0,988843740.0
Trả trước cho người bán dài hạn,Trả trước cho người bán dài hạn,Trả trước cho người bán dài hạn,-,86.103.451.873,86.103.451.873,,86103451873.0,86103451873.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,-,6.867.583.680,6.867.583.680,,6867583680.0,6867583680.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,62.700.004.996,(36.250.000),62.663.754.996,62700004996.0,-36250000.0,62663754996.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,6.867.583.680,(6.867.583.680),-,6867583680.0,-6867583680.0,
