row_label_raw,row_label_full,col_0,Số cuối năm > % sờ hữu,Số cuối năm > Giá trị (VND),Số đầu năm > % sờ hữu,Số đầu năm > Giá trị (VND),numeric__Số cuối năm > % sờ hữu,numeric__Số cuối năm > Giá trị (VND),numeric__Số đầu năm > % sờ hữu,numeric__Số đầu năm > Giá trị (VND)
Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,,,,
Công ty Cổ phần Đầu tư Xây dựng Hạ tầng Hòa Bình,Đầu tư vào các công ty liên kết > Công ty Cổ phần Đầu tư Xây dựng Hạ tầng Hòa Bình,Công ty Cổ phần Đầu tư Xây dựng Hạ tầng Hòa Bình,"49,00",92.816.137.329,"49,00",89.715.388.527,49.0,92816137329.0,49.0,89715388527.0
Công ty Cổ phần Kỹ thuật Hòa Bình Oseven,Đầu tư vào các công ty liên kết > Công ty Cổ phần Kỹ thuật Hòa Bình Oseven,Công ty Cổ phần Kỹ thuật Hòa Bình Oseven,"47,29",50.485.170.000,"47,29",50.485.170.000,47.29,50485170000.0,47.29,50485170000.0
Công ty Cổ phần Chứng khoán Sen Vàng,Đầu tư vào các công ty liên kết > Công ty Cổ phần Chứng khoán Sen Vàng,Công ty Cổ phần Chứng khoán Sen Vàng,"37,30",22.173.591.004,"31,85",21.182.903.554,37.3,22173591004.0,31.85,21182903554.0
Công ty Cổ phần Kỹ thuật Hòa Bình Jesco,Đầu tư vào các công ty liên kết > Công ty Cổ phần Kỹ thuật Hòa Bình Jesco,Công ty Cổ phần Kỹ thuật Hòa Bình Jesco,"47,82",16.923.220.276,"47,82",17.294.375.594,47.82,16923220276.0,47.82,17294375594.0
Đầu tư vào công ty liên doanh,Đầu tư vào công ty liên doanh,Đầu tư vào công ty liên doanh,Đầu tư vào công ty liên doanh,Đầu tư vào công ty liên doanh,Đầu tư vào công ty liên doanh,Đầu tư vào công ty liên doanh,,,,
Công ty liên doanh Hòa Bình GS,Đầu tư vào công ty liên doanh > Công ty liên doanh Hòa Bình GS,Công ty liên doanh Hòa Bình GS,"40,00",38.722.599.353,"40,00",38.928.412.338,40.0,38722599353.0,40.0,38928412338.0
TỔNG CỘNG,Đầu tư vào công ty liên doanh > TỔNG CỘNG,TỔNG CỘNG,,221.120.717.962,,217.606.250.013,,221120717962.0,,217606250013.0
