row_label_raw,row_label_full,col_0,Số đầu năm(dã được trình bàytrước đây),Trình bày lại,VND > Số đầu năm(được trình bày lại),numeric__Số đầu năm(dã được trình bàytrước đây),numeric__Trình bày lại,numeric__VND > Số đầu năm(được trình bày lại)
BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT (tiếp theo),BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT (tiếp theo),BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT (tiếp theo),BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT (tiếp theo),BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT (tiếp theo),BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT (tiếp theo),,,
Người mua trả tiền trướcngắn hạn,BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT (tiếp theo) > Người mua trả tiền trướcngắn hạn,Người mua trả tiền trướcngắn hạn,1.039.307.582.061,(19.649.494.278),1.019.658.087.783,1039307582061.0,-19649494278.0,1019658087783.0
Phải trả ngắn hạn khác,BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT (tiếp theo) > Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,150.069.185.304,(88.610.660),149.980.574.644,150069185304.0,-88610660.0,149980574644.0
Người mua trả tiền trướcdài hạn,BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT (tiếp theo) > Người mua trả tiền trướcdài hạn,Người mua trả tiền trướcdài hạn,-,154.670.853.387,154.670.853.387,,154670853387.0,154670853387.0
Doanh thu chưa thực hiệndài hạn,BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT (tiếp theo) > Doanh thu chưa thực hiệndài hạn,Doanh thu chưa thực hiệndài hạn,135.021.359.109,(135.021.359.109),-,135021359109.0,-135021359109.0,
Nợ phải trả dài hạn khác,BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT (tiếp theo) > Nợ phải trả dài hạn khác,Nợ phải trả dài hạn khác,20.963.137.585,(14.506.278.504),6.456.859.081,20963137585.0,-14506278504.0,6456859081.0
Dự phòng phải trả dài hạnkhác,BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT (tiếp theo) > Dự phòng phải trả dài hạnkhác,Dự phòng phải trả dài hạnkhác,36.876.185.133,14.594.889.164,51.471.074.297,36876185133.0,14594889164.0,51471074297.0
Quỹ dự phòng tài chính,BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT (tiếp theo) > Quỹ dự phòng tài chính,Quỹ dự phòng tài chính,29.852.431.278,(29.852.431.278),-,29852431278.0,-29852431278.0,
Quỹ đầu tư và phát triển,BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT (tiếp theo) > Quỹ đầu tư và phát triển,Quỹ đầu tư và phát triển,66.359.647.632,29.852.431.278,96.212.078.910,66359647632.0,29852431278.0,96212078910.0
,,,,,VND,,,
,,,Năm trước(dã được trình bàytrước đây),Trình bày lại,Năm trước(được trình bày lại),,,
