row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,VND > Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND > Số đầu năm
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,,,,
Công ty Cổ phầnKỹ thuật Jesco Hòa Bình,Trả trước cho người bán ngắn hạn > Công ty Cổ phầnKỹ thuật Jesco Hòa Bình,Công ty Cổ phầnKỹ thuật Jesco Hòa Bình,Công tyliên kết,Chi phíthầu phụ,95.987.411.887,35.476.719.069,,,95987411887.0,35476719069.0
Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,
Công ty Cổ phầnĐầu tư Xây dựng Hạ tầngHòa Bình,Phải thu theo tiến độ kế hoạch hợp đồng xây dựng > Công ty Cổ phầnĐầu tư Xây dựng Hạ tầngHòa Bình,Công ty Cổ phầnĐầu tư Xây dựng Hạ tầngHòa Bình,Công tyliên kết,Dịch vụxây dựng,-,38.939.292,,,,38939292.0
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,,,,
Công ty Cổ phầnKỹ thuật Jesco Hòa Bình,Phải thu về cho vay ngắn hạn > Công ty Cổ phầnKỹ thuật Jesco Hòa Bình,Công ty Cổ phầnKỹ thuật Jesco Hòa Bình,Công tyliên kết,Cho vay,3.106.027.778,-,,,3106027778.0,
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,,,,
Công ty Liên doanhHòa Bình GS,Phải thu ngắn hạn khác > Công ty Liên doanhHòa Bình GS,Công ty Liên doanhHòa Bình GS,Công tyliên doanh,Phí bảo lãnh,-,355.173.511,,,,355173511.0
Công ty Cổ phầnKỹ thuật Jesco Hòa Bình,Phải thu ngắn hạn khác > Công ty Cổ phầnKỹ thuật Jesco Hòa Bình,Công ty Cổ phầnKỹ thuật Jesco Hòa Bình,Công tyliên kết,Chi trả hộ,-,12.058.032,,,,12058032.0
,,,,,-,367.231.543,,,,367231543.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,,,,
Công ty Cổ phầnKỹ thuật Jesco Hòa Bình,Phải trả người bán ngắn hạn > Công ty Cổ phầnKỹ thuật Jesco Hòa Bình,Công ty Cổ phầnKỹ thuật Jesco Hòa Bình,Công tyliên kết,Chi phíthầu phụ,84.001.747.509,32.675.268.306,,,84001747509.0,32675268306.0
Công ty Cổ phầnĐầu tư Xây dựng Hạ tầngHòa Bình,Phải trả người bán ngắn hạn > Công ty Cổ phầnĐầu tư Xây dựng Hạ tầngHòa Bình,Công ty Cổ phầnĐầu tư Xây dựng Hạ tầngHòa Bình,Công tyliên kết,Chi phíthầu phụ,13.431.627,-,,,13431627.0,
Công ty Cổ phần Du lịchHòa Bình,Phải trả người bán ngắn hạn > Công ty Cổ phần Du lịchHòa Bình,Công ty Cổ phần Du lịchHòa Bình,Bên liênquan,Chi phíthầu phụ,-,267.221.683,,,,267221683.0
Công ty Cổ phầnViệt Ta Living,Phải trả người bán ngắn hạn > Công ty Cổ phầnViệt Ta Living,Công ty Cổ phầnViệt Ta Living,Bên liênquan,Mua nguyênvật liệu,-,161.175.000,,,,161175000.0
,,,,,84.015.179.136,33.103.664.989,,,84015179136.0,33103664989.0
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,,,,
Công ty Cổ phầnKỹ thuật Jesco Hòa Bình,Chi phí phải trả ngắn hạn > Công ty Cổ phầnKỹ thuật Jesco Hòa Bình,Công ty Cổ phầnKỹ thuật Jesco Hòa Bình,Công tyliên kết,Chi phíthầu phụ,114.006.984.747,42.085.880.352,,,114006984747.0,42085880352.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,,,,
Công ty Cổ phần Việt TaLiving,Phải trả ngắn hạn khác > Công ty Cổ phần Việt TaLiving,Công ty Cổ phần Việt TaLiving,Bên liênquan,Ký quỹ,-,20.000.000,,,,20000000.0
