row_label_raw,row_label_full,Bên cho vay > Cá nhân,Số cuối năm(VND) > 6.052.922.481,Ngày đáo hạn > Từ ngày 10 tháng3 năm 2016 đếnngày 9 tháng 11năm 2016,"Lãi suất(%/năm) > 7,5 – 14,5",Chi tiết tài sảnđảm báo > Tín chấp,numeric__Số cuối năm(VND) > 6.052.922.481,numeric__Ngày đáo hạn > Từ ngày 10 tháng3 năm 2016 đếnngày 9 tháng 11năm 2016,"numeric__Lãi suất(%/năm) > 7,5 – 14,5",numeric__Chi tiết tài sảnđảm báo > Tín chấp
Nhân viên công ty,Nhân viên công ty,Nhân viên công ty,1.549.800.823,Không xác định,"9,0",Tín chấp,1549800823.0,,9.0,
Công ty Cổ phần KếtNói Việt,Công ty Cổ phần KếtNói Việt,Công ty Cổ phần KếtNói Việt,1.520.000.000,Ngày 31 tháng 10năm 2016,Không,Khoản đầu tư vàoCông ty TNHHĐầu tư Địa ốcTiến Phát,1520000000.0,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,9.122.723.304,,,,9122723304.0,,,
