row_label_raw,row_label_full,col_0,Vốn cổ phần,Thăng dư vốn cổ phần,Cổ phiếu quỹ,Chênh lệch tỷ giá hối đoái,Quỹ đầu tư phát triển,Quỹ dự phòng tài chính,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn cổ phần,numeric__Thăng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Chênh lệch tỷ giá hối đoái,numeric__Quỹ đầu tư phát triển,numeric__Quỹ dự phòng tài chính,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,518.754.940.000,301.199.313.203,(110.073.072.979),-,66.359.647.632,26.045.977.512,148.212.994.786,950.499.800.154,518754940000.0,301199313203.0,-110073072979.0,,66359647632.0,26045977512.0,148212994786.0,950499800154.0
Phát hành cổ phiếu,Năm trước > Phát hành cổ phiếu,Phát hành cổ phiếu,7.035.900.000,-,-,-,-,-,-,7.035.900.000,7035900000.0,,,,,,,7035900000.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,70.948.169.706,70.948.169.706,,,,,,,70948169706.0,70948169706.0
Phát hành cổ phiếu thường,Năm trước > Phát hành cổ phiếu thường,Phát hành cổ phiếu thường,47.894.830.000,-,-,-,-,-,(47.894.830.000),-,47894830000.0,,,,,,-47894830000.0,
Cổ tức công bố,Năm trước > Cổ tức công bố,Cổ tức công bố,-,-,-,-,-,-,(24.086.005.770),(24.086.005.770),,,,,,,-24086005770.0,-24086005770.0
Phân phối lợi nhuận,Năm trước > Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,-,-,-,3.806.453.766,(3.806.453.766),-,,,,,,3806453766.0,-3806453766.0,
"Trích lập quỹ khen thưởng, phúc lợi","Năm trước > Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,(7.785.036.259),(7.785.036.259),,,,,,,-7785036259.0,-7785036259.0
Thù lao Hội đồng quản trị,Năm trước > Thù lao Hội đồng quản trị,Thù lao Hội đồng quản trị,-,-,-,-,-,-,(540.000.000),(540.000.000),,,,,,,-540000000.0,-540000000.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,573.685.670.000,301.199.313.203,(110.073.072.979),-,66.359.647.632,29.852.431.278,135.048.838.697,996.072.827.831,573685670000.0,301199313203.0,-110073072979.0,,66359647632.0,29852431278.0,135048838697.0,996072827831.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,,
Số đầu năm (đã được trình bày trước đây),Năm nay > Số đầu năm (đã được trình bày trước đây),Số đầu năm (đã được trình bày trước đây),573.685.670.000,301.199.313.203,(110.073.072.979),-,66.359.647.632,29.852.431.278,135.048.838.697,996.072.827.831,573685670000.0,301199313203.0,-110073072979.0,,66359647632.0,29852431278.0,135048838697.0,996072827831.0
Trình bày lại (Thuyết minh số 34),Năm nay > Trình bày lại (Thuyết minh số 34),Trình bày lại (Thuyết minh số 34),-,-,-,-,29.852.431.278,(29.852.431.276),-,-,,,,,29852431278.0,-29852431276.0,,
Số đầu năm (đã được phân loại lại),Năm nay > Số đầu năm (đã được phân loại lại),Số đầu năm (đã được phân loại lại),573.685.670.000,301.199.313.203,(110.073.072.979),-,96.212.078.910,-,135.048.838.697,996.072.827.831,573685670000.0,301199313203.0,-110073072979.0,,96212078910.0,,135048838697.0,996072827831.0
Phát hành cổ phiếu thường,Năm nay > Phát hành cổ phiếu thường,Phát hành cổ phiếu thường,172.094.400.000,(172.094.400.000),-,-,-,-,-,-,172094400000.0,-172094400000.0,,,,,,
Phát hành cổ phiếu,Năm nay > Phát hành cổ phiếu,Phát hành cổ phiếu,9.818.300.000,-,-,-,-,-,-,9.818.300.000,9818300000.0,,,,,,,9818300000.0
