row_label_raw,row_label_full,Số đầu năm > Dự phòng trích lập trong năm,Năm nay > (15.387.048.311) > (3.187.687.771),VNDNăm trước > (8.939.727.648) > (6.447.320.663),numeric__Năm nay > (15.387.048.311) > (3.187.687.771),numeric__VNDNăm trước > (8.939.727.648) > (6.447.320.663)
Xóa số dự phòng đã trích lập,Xóa số dự phòng đã trích lập,Xóa số dự phòng đã trích lập,12.416.689.791,-,12416689791.0,
Hoàn nhập dự phòng trong năm,Hoàn nhập dự phòng trong năm,Hoàn nhập dự phòng trong năm,485.720.614,-,485720614.0,
Số cuối năm,Số cuối năm,Số cuối năm,(5.672.325.677),(15.387.048.311),-5672325677.0,-15387048311.0
